row_label_raw,row_label_full,col_0,Năm 2021 triệu đồng,Năm 2020 triệu đồng,numeric__Năm 2021 triệu đồng,numeric__Năm 2020 triệu đồng
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,12.308.295,8.228.173,12308295.0,8228173.0
Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,1.191.697,882.549,1191697.0,882549.0
Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,11.969,16.499,11969.0,16499.0
Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,482.373,443.191,482373.0,443191.0
Thu từ kinh doanh và dịch vụ bảo hiểm,Thu từ kinh doanh và dịch vụ bảo hiểm,Thu từ kinh doanh và dịch vụ bảo hiểm,8.386.405,5.849.863,8386405.0,5849863.0
Thu từ dịch vụ đại lý nhận ủy thác,Thu từ dịch vụ đại lý nhận ủy thác,Thu từ dịch vụ đại lý nhận ủy thác,24.303,28.867,24303.0,28867.0
"Thu từ xử lý nợ, thẩm định giá và khai thác tài sản","Thu từ xử lý nợ, thẩm định giá và khai thác tài sản","Thu từ xử lý nợ, thẩm định giá và khai thác tài sản",491.655,261.826,491655.0,261826.0
Thu từ hoạt động môi giới chứng khoán,Thu từ hoạt động môi giới chứng khoán,Thu từ hoạt động môi giới chứng khoán,931.582,350.101,931582.0,350101.0
Thu phí khác,Thu phí khác,Thu phí khác,788.311,395.277,788311.0,395277.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(7.940.917),(4.652.620),-7940917.0,-4652620.0
Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,(77.684),(66.584),-77684.0,-66584.0
Chi về nghiệp vụ ủy thác và đại lý,Chi về nghiệp vụ ủy thác và đại lý,Chi về nghiệp vụ ủy thác và đại lý,(13.221),(10.720),-13221.0,-10720.0
Chi về dịch vụ tư vấn,Chi về dịch vụ tư vấn,Chi về dịch vụ tư vấn,(3.002),(205),-3002.0,-205.0
Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,(2.088.508),(1.377.927),-2088508.0,-1377927.0
Chi về hoạt động ngân quỹ,Chi về hoạt động ngân quỹ,Chi về hoạt động ngân quỹ,(13.259),(11.008),-13259.0,-11008.0
Chi về hoạt động kinh doanh bảo hiểm,Chi về hoạt động kinh doanh bảo hiểm,Chi về hoạt động kinh doanh bảo hiểm,(4.440.746),(2.662.436),-4440746.0,-2662436.0
"Chi về xử lý nợ, thẩm định giá và khai thác tài sản","Chi về xử lý nợ, thẩm định giá và khai thác tài sản","Chi về xử lý nợ, thẩm định giá và khai thác tài sản",(335.609),(148.050),-335609.0,-148050.0
Chi về hoạt động môi giới chứng khoán,Chi về hoạt động môi giới chứng khoán,Chi về hoạt động môi giới chứng khoán,(157.104),(64.953),-157104.0,-64953.0
Chi khác,Chi khác,Chi khác,(811.784),(310.737),-811784.0,-310737.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,4.367.378,3.575.553,4367378.0,3575553.0
