row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thặng dư cổ phần triệu đồng,Cổ phiếu quỹ triệu đồng,Vốn khác triệu đồng,Quỹ dự phòng tài chính triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ khác triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Lợi ích cổ đông không kiểm soát triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thặng dư cổ phần triệu đồng,numeric__Cổ phiếu quỹ triệu đồng,numeric__Vốn khác triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ khác triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Lợi ích cổ đông không kiểm soát triệu đồng,numeric__Tổng cộng triệu đồng
Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,27.987.569,1.177.563,(564.397),124.945,3.676.170,1.916.410,632.256,12.955.988,2.192.991,50.099.495,27987569.0,1177563.0,-564397.0,124945.0,3676170.0,1916410.0,632256.0,12955988.0,2192991.0,50099495.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,12.697.076,524.362,13.221.438,,,,,,,,12697076.0,524362.0,13221438.0
Trích lập quỹ trong năm,Trích lập quỹ trong năm,Trích lập quỹ trong năm,-,-,-,-,823.538,689.546,276.012,(1.789.096),-,-,,,,,823538.0,689546.0,276012.0,-1789096.0,,
Trích quỹ Khen thưởng phúc lợi,Trích quỹ Khen thưởng phúc lợi,Trích quỹ Khen thưởng phúc lợi,-,-,-,-,-,-,-,(600.265),(16.010),(616.275),,,,,,,,-600265.0,-16010.0,-616275.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,-,-,-,250.000,-,-,-,-,209.073,459.073,,,,250000.0,,,,,209073.0,459073.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,-,(250.000),(419.292),-,-,(669.292),,,,,,-250000.0,-419292.0,,,-669292.0
Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,-,-,-,-,-,-,-,-,(2.990),(2.990),,,,,,,,,-2990.0,-2990.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,9.795.649,-,-,290.866,-,-,-,(10.086.515),-,-,9795649.0,,,290866.0,,,,-10086515.0,,
Chia cổ phiếu quỹ cho cổ đông hiện hữu,Chia cổ phiếu quỹ cho cổ đông hiện hữu,Chia cổ phiếu quỹ cho cổ đông hiện hữu,-,(308.236),564.397,-,-,-,-,(256.161),-,-,,-308236.0,564397.0,,,,,-256161.0,,
Thay đổi tỷ lệ sở hữu,Thay đổi tỷ lệ sở hữu,Thay đổi tỷ lệ sở hữu,-,-,-,-,(1.006),(1.006),(42),(2.227),4.281,-,,,,,-1006.0,-1006.0,-42.0,-2227.0,4281.0,
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,-,-,(1.256),(3.651),(519),(5.426),,,,,,,-1256.0,-3651.0,-519.0,-5426.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,37.783.218,869.327,-,665.811,4.498.702,2.354.950,487.678,12.915.149,2.911.188,62.486.023,37783218.0,869327.0,,665811.0,4498702.0,2354950.0,487678.0,12915149.0,2911188.0,62486023.0
