row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng",Máy mócthiết bịtriệu đồng,Phương tiệnvận tàitriệu đồng,Tài sản hữu hìnhkháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng",numeric__Máy mócthiết bịtriệu đồng,numeric__Phương tiệnvận tàitriệu đồng,numeric__Tài sản hữu hìnhkháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.338.796,1.536.291,1.252.428,259.554,5.387.069,2338796.0,1536291.0,1252428.0,259554.0,5387069.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,95.181,542.074,134.764,65.014,837.033,95181.0,542074.0,134764.0,65014.0,837033.0
Thanh lý nhượng bán,Nguyên giá > Thanh lý nhượng bán,Thanh lý nhượng bán,(35.550),(56.128),(30.303),(15.871),(137.852),-35550.0,-56128.0,-30303.0,-15871.0,-137852.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,(118),(1.726),(636),(253),(2.733),-118.0,-1726.0,-636.0,-253.0,-2733.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.398.309,2.020.511,1.356.253,308.444,6.083.517,2398309.0,2020511.0,1356253.0,308444.0,6083517.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,331.769,1.225.480,605.285,136.011,2.298.545,331769.0,1225480.0,605285.0,136011.0,2298545.0
Chi phí khấu hao trong năm,Giá trị hao mòn luỹ kế > Chi phí khấu hao trong năm,Chi phí khấu hao trong năm,97.171,265.729,267.336,49.047,679.283,97171.0,265729.0,267336.0,49047.0,679283.0
Giảm trong năm,Giá trị hao mòn luỹ kế > Giảm trong năm,Giảm trong năm,(8.472),(55.325),(28.476),(13.534),(105.807),-8472.0,-55325.0,-28476.0,-13534.0,-105807.0
Chênh lệch tỷ giá,Giá trị hao mòn luỹ kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,(90),(1.507),(621),(192),(2.410),-90.0,-1507.0,-621.0,-192.0,-2410.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,420.378,1.434.377,843.524,171.332,2.869.611,420378.0,1434377.0,843524.0,171332.0,2869611.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,2.007.027,310.811,647.143,123.543,3.088.524,2007027.0,310811.0,647143.0,123543.0,3088524.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.977.931,586.134,512.729,137.112,3.213.906,1977931.0,586134.0,512729.0,137112.0,3213906.0
