row_label_raw,row_label_full,col_0,Quá hạn triệu đồng,Không ảnh hưởng thay đổi lãi suất triệu đồng,Đến 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 6 tháng triệu đồng,Từ 6 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,numeric__Quá hạn triệu đồng,numeric__Không ảnh hưởng thay đổi lãi suất triệu đồng,numeric__Đến 1 tháng triệu đồng,numeric__Từ 1 - 3 tháng triệu đồng,numeric__Từ 3 - 6 tháng triệu đồng,numeric__Từ 6 - 12 tháng triệu đồng,numeric__Từ 1 - 5 năm triệu đồng,numeric__Trên 5 năm triệu đồng,numeric__Tổng cộng triệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,3.475.341,-,-,-,-,-,-,3.475.341,,3475341.0,,,,,,,3475341.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,38.051.039,-,-,-,-,-,-,38.051.039,,38051039.0,,,,,,,38051039.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),80.400,-,23.464.074,5.069.103,5.263.126,1.343.346,844.000,-,36.064.049,80400.0,,23464074.0,5069103.0,5263126.0,1343346.0,844000.0,,36064049.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,339.246,7.243.427,-,-,-,-,-,7.582.673,,339246.0,7243427.0,,,,,,7582673.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,(1.386.559),(2.821.539),1.124.306,2.265.387,1.092.699,-,274.294,,,-1386559.0,-2821539.0,1124306.0,2265387.0,1092699.0,,274294.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),5.072.108,-,114.483.885,155.414.997,24.749.422,20.429.174,41.055.777,2.353.000,363.558.363,5072108.0,,114483885.0,155414997.0,24749422.0,20429174.0,41055777.0,2353000.0,363558363.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),50.000,-,8.446.745,34.071.190,12.113.563,16.856.882,21.075.275,36.615.345,129.229.000,50000.0,,8446745.0,34071190.0,12113563.0,16856882.0,21075275.0,36615345.0,129229000.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,940.840,-,-,-,-,-,-,940.840,,940840.0,,,,,,,940840.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,4.947.446,-,-,-,-,-,-,4.947.446,,4947446.0,,,,,,,4947446.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),59.513,32.425.520,-,-,-,-,-,-,32.485.033,59513.0,32425520.0,,,,,,,32485033.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,5.262.021,80.179.432,152.251.572,191.733.751,43.250.417,40.894.789,64.067.751,38.968.345,616.608.078,5262021.0,80179432.0,152251572.0,191733751.0,43250417.0,40894789.0,64067751.0,38968345.0,616608078.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,262.281,-,-,-,-,-,262.281,,,262281.0,,,,,,262281.0
