row_label_raw,row_label_full,col_0,Tài chính ngân hàng triệu đồng,Chứng khoán – Quản lý quỹ triệu đồng,Bảo hiểm triệu đồng,Khai thác nợ - Quản lý tài sản triệu đồng,Loại trừ triệu đồng,Tổng cộng triệu đồng,numeric__Tài chính ngân hàng triệu đồng,numeric__Chứng khoán – Quản lý quỹ triệu đồng,numeric__Bảo hiểm triệu đồng,numeric__Khai thác nợ - Quản lý tài sản triệu đồng,numeric__Loại trừ triệu đồng,numeric__Tổng cộng triệu đồng
III. Tài sản,III. Tài sản,III. Tài sản,599.323.001,11.573.605,13.683.563,1.602.693,(19.042.443),607.140.419,599323001.0,11573605.0,13683563.0,1602693.0,-19042443.0,607140419.0
1. Tiền mặt,1. Tiền mặt,1. Tiền mặt,3.473.732,339,620,650,-,3.475.341,3473732.0,339.0,620.0,650.0,,3475341.0
2. Tài sản có định,2. Tài sản có định,2. Tài sản có định,4.066.553,127.691,461.969,22.234,-,4.678.447,4066553.0,127691.0,461969.0,22234.0,,4678447.0
3. Tài sản khác,3. Tài sản khác,3. Tài sản khác,591.782.716,11.445.575,13.220.974,1.579.809,(19.042.443),598.986.631,591782716.0,11445575.0,13220974.0,1579809.0,-19042443.0,598986631.0
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,539.970.933,7.689.600,10.222.726,668.148,(13.897.011),544.654.396,539970933.0,7689600.0,10222726.0,668148.0,-13897011.0,544654396.0
1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,522.324.492,7.159.569,-,-,(11.005.724),518.478.337,522324492.0,7159569.0,,,-11005724.0,518478337.0
2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,850.615,39.318,138.013,59.092,-,1.087.038,850615.0,39318.0,138013.0,59092.0,,1087038.0
3. Nợ phải trả khác,3. Nợ phải trả khác,3. Nợ phải trả khác,16.795.826,490.713,10.084.713,609.056,(2.891.287),25.089.021,16795826.0,490713.0,10084713.0,609056.0,-2891287.0,25089021.0
