row_label_raw,row_label_full,col_0,Dự phòng chung triệu đồng,Dự phòng cụ thể triệu đồng,Tổng cộng triệu đồng,numeric__Dự phòng chung triệu đồng,numeric__Dự phòng cụ thể triệu đồng,numeric__Tổng cộng triệu đồng
Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,2.148.238,2.205.981,4.354.219,2148238.0,2205981.0,4354219.0
Trích lập trong năm (Thuyết minh số 35),Trích lập trong năm (Thuyết minh số 35),Trích lập trong năm (Thuyết minh số 35),443.356,7.510.445,7.953.801,443356.0,7510445.0,7953801.0
Sử dụng quỹ dự phòng,Sử dụng quỹ dự phòng,Sử dụng quỹ dự phòng,-,(3.542.937),(3.542.937),,-3542937.0,-3542937.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,(818),(6.581),(7.399),-818.0,-6581.0,-7399.0
Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,2.590.776,6.166.908,8.757.684,2590776.0,6166908.0,8757684.0
