row_label_raw,row_label_full,STT,CHỈ TIỀU,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__CHỈ TIỀU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
1.,1.,1.,Thu nhập lãi và các khoản thu nhập tương tự,25,151.148.038,135.294.767,,25.0,151148038.0,135294767.0
2.,2.,2.,Chi phí lãi và các chi phí tương tự,26,(89.892.542),(79.061.264),,26.0,-89892542.0,-79061264.0
I,I,I,Thu nhập lãi thuần,,61.255.496,56.233.503,,,61255496.0,56233503.0
3.,3.,3.,Thu nhập từ hoạt động dịch vụ,,9.084.308,9.663.144,,,9084308.0,9663144.0
4.,4.,4.,Chi phí hoạt động dịch vụ,,(3.375.965),(4.034.400),,,-3375965.0,-4034400.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,27,5.708.343,5.628.744,,27.0,5708343.0,5628744.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hồi,28,3.718.008,5.264.524,,28.0,3718008.0,5264524.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,29.1,419.727,91.290,,291.0,419727.0,91290.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,29.2,2.256.799,4.850.545,,292.0,2256799.0,4850545.0
5.,5.,5.,Thu nhập từ hoạt động khác,,15.810.360,8.943.092,,,15810360.0,8943092.0
6.,6.,6.,Chi phí từ hoạt động khác,,(3.059.551),(4.172.619),,,-3059551.0,-4172619.0
VI,VI,VI,Lãi thuần từ hoạt động khác,30,12.750.809,4.770.473,,30.0,12750809.0,4770473.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",31,220.392,205.774,,31.0,220392.0,205774.0
,,,Tổng thu nhập hoạt động,,86.329.574,77.044.853,,,86329574.0,77044853.0
7.,7.,7.,Chi phí nhân viên,,(16.584.911),(14.843.875),,,-16584911.0,-14843875.0
8.,8.,8.,Chi phí khấu hao và khấu trừ,,(1.170.436),(1.201.328),,,-1170436.0,-1201328.0
9.,9.,9.,Chi phí hoạt động khác,,(10.493.114),(9.763.897),,,-10493114.0,-9763897.0
VIII,VIII,VIII,Tổng chi phí hoạt động,32,(28.248.461),(25.809.100),,32.0,-28248461.0,-25809100.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,58.081.113,51.235.753,,,58081113.0,51235753.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,"8, 12",(22.572.267),(20.537.882),,,-22572267.0,-20537882.0
XI,XI,XI,Tổng lợi nhuận trước thuế,,35.508.846,30.697.871,,,35508846.0,30697871.0
10.,10.,10.,Chi phí thuế TNDN hiện hành,33,(7.063.145),(6.117.892),,33.0,-7063145.0,-6117892.0
11.,11.,11.,Chi phí thuế TNDN hoãn lại,,(183),(62),,,-183.0,-62.0
XII,XII,XII,Chi phí thuế TNDN,,(7.063.328),(6.117.954),,,-7063328.0,-6117954.0
XIII,XIII,XIII,Lợi nhuận sau thuế,,28.445.518,24.579.917,,,28445518.0,24579917.0
