row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,Triệu VND,Triệu VND,,
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,31.718.661,24.789.900,31718661.0,24789900.0
- Chi phí xây dựng cơ bản dở dang(Thuyết minh số 16.1),- Chi phí xây dựng cơ bản dở dang(Thuyết minh số 16.1),- Chi phí xây dựng cơ bản dở dang(Thuyết minh số 16.1),822.586,992.222,822586.0,992222.0
- Các khoản phải thu khác(Thuyết minh số 16.2),- Các khoản phải thu khác(Thuyết minh số 16.2),- Các khoản phải thu khác(Thuyết minh số 16.2),30.896.075,23.797.678,30896075.0,23797678.0
Các khoản lãi và phí phải thu,Các khoản lãi và phí phải thu,Các khoản lãi và phí phải thu,24.497.565,19.786.297,24497565.0,19786297.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,1.043,1.226,1043.0,1226.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,2.559.676,2.423.928,2559676.0,2423928.0
- Các hợp đồng ủy thác đầu tư,- Các hợp đồng ủy thác đầu tư,- Các hợp đồng ủy thác đầu tư,82.960,82.960,82960.0,82960.0
- Chi phí chờ phân bổ,- Chi phí chờ phân bổ,- Chi phí chờ phân bổ,1.556.691,1.710.741,1556691.0,1710741.0
- Tài sản gán nợ chờ xử lý,- Tài sản gán nợ chờ xử lý,- Tài sản gán nợ chờ xử lý,55.420,55.420,55420.0,55420.0
- Tài sản Có khác,- Tài sản Có khác,- Tài sản Có khác,864.605,574.807,864605.0,574807.0
Dự phòng rủi ro cho các tài sản Có nội bằng khác(Thuyết minh số 16.3),Dự phòng rủi ro cho các tài sản Có nội bằng khác(Thuyết minh số 16.3),Dự phòng rủi ro cho các tài sản Có nội bằng khác(Thuyết minh số 16.3),(370.657),(436.213),-370657.0,-436213.0
,,,58.406.288,46.565.138,58406288.0,46565138.0
