row_label_raw,row_label_full,STT,CHÍ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lại),numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lại)
1.,1.,1.,Bảo lãnh vay vốn,38,5.051.135,6.999.463,,38.0,5051135.0,6999463.0
2.,2.,2.,Cam kết giao dịch hối đoái,,236.063.944,133.387.287,,,236063944.0,133387287.0
a.,a.,a.,Cam kết mua ngoại tệ,,693.500,2.333.456,,,693500.0,2333456.0
b.,b.,b.,Cam kết bán ngoại tệ,,3.197.813,2.666.274,,,3197813.0,2666274.0
c.,c.,c.,Cam kết giao dịch hoán đối đến,,116.097.753,64.605.066,,,116097753.0,64605066.0
d.,d.,d.,Cam kết giao dịch hoán đối đi,,116.074.878,63.782.491,,,116074878.0,63782491.0
3.,3.,3.,Cam kết trong nghiệp vụ L/C,38,66.989.832,62.109.504,,38.0,66989832.0,62109504.0
4.,4.,4.,Bảo lãnh khác,38,245.545.115,198.301.002,,38.0,245545115.0,198301002.0
5.,5.,5.,Cam kết khác,38,12.947.365,14.317.273,,38.0,12947365.0,14317273.0
6.,6.,6.,Lãi cho vay và phí phải thu chưa thu được,39,14.874.974,19.175.399,,39.0,14874974.0,19175399.0
7.,7.,7.,Nợ khó đòi đã xử lý,40,277.493.282,248.826.970,,40.0,277493282.0,248826970.0
a.,a.,a.,Nợ gốc của các khoản nợ khó đòi đã xử lý,,140.678.757,127.202.397,,,140678757.0,127202397.0
b.,b.,b.,Nợ lãi của các khoản nợ khó đòi đã xử lý,,136.814.525,121.624.573,,,136814525.0,121624573.0
8.,8.,8.,Tài sản và chứng từ khác,41,73.372.879,66.167.709,,41.0,73372879.0,66167709.0
