row_label_raw,row_label_full,col_0,Năm nay,Năm trước (Trình bày lại),numeric__Năm nay,numeric__Năm trước (Trình bày lại)
,,,Triệu VND,Triệu VND,,
Thu nhập từ hoạt động kinh doanh trước thuếTrừ:,Thu nhập từ hoạt động kinh doanh trước thuếTrừ:,Thu nhập từ hoạt động kinh doanh trước thuếTrừ:,35.508.846,30.697.871,35508846.0,30697871.0
Thu nhập từ cổ tức không chịu thuếCộng:,Thu nhập từ cổ tức không chịu thuếCộng:,Thu nhập từ cổ tức không chịu thuếCộng:,(220.392),(205.774),-220392.0,-205774.0
Chi phí khác không được khấu trừ thuếChênh lệch tạm thời chi phí dự phòng đầu tư dài hạn theo quy định tại Thông tư 48,Chi phí khác không được khấu trừ thuếChênh lệch tạm thời chi phí dự phòng đầu tư dài hạn theo quy định tại Thông tư 48,Chi phí khác không được khấu trừ thuếChênh lệch tạm thời chi phí dự phòng đầu tư dài hạn theo quy định tại Thông tư 48,14.691(913),97.678(312),,
Thu nhập chịu thuế TNDN,Chi phí khác không được khấu trừ thuếChênh lệch tạm thời chi phí dự phòng đầu tư dài hạn theo quy định tại Thông tư 48 > Thu nhập chịu thuế TNDN,Thu nhập chịu thuế TNDN,35.302.232,30.589.463,35302232.0,30589463.0
Thuế suất thuế TNDN,Chi phí khác không được khấu trừ thuếChênh lệch tạm thời chi phí dự phòng đầu tư dài hạn theo quy định tại Thông tư 48 > Thuế suất thuế TNDN,Thuế suất thuế TNDN,20%,20%,0.2,0.2
Chi phí thuế TNDN theo thuế suất,Chi phí khác không được khấu trừ thuếChênh lệch tạm thời chi phí dự phòng đầu tư dài hạn theo quy định tại Thông tư 48 > Chi phí thuế TNDN theo thuế suất,Chi phí thuế TNDN theo thuế suất,7.060.444,6.117.893,7060444.0,6117893.0
Chi phí thuế TNDN đã nộp ở nước ngoài không được bù trừ vào số thuế phải nộp tại Việt Nam khi quyết toán thuế TNDN năm 2024 và 2025,Chi phí khác không được khấu trừ thuếChênh lệch tạm thời chi phí dự phòng đầu tư dài hạn theo quy định tại Thông tư 48 > Chi phí thuế TNDN đã nộp ở nước ngoài không được bù trừ vào số thuế phải nộp tại Việt Nam khi quyết toán thuế TNDN năm 2024 và 2025,Chi phí thuế TNDN đã nộp ở nước ngoài không được bù trừ vào số thuế phải nộp tại Việt Nam khi quyết toán thuế TNDN năm 2024 và 2025,2.701,-,2701.0,
Thuế TNDN trong năm,Chi phí khác không được khấu trừ thuếChênh lệch tạm thời chi phí dự phòng đầu tư dài hạn theo quy định tại Thông tư 48 > Thuế TNDN trong năm,Thuế TNDN trong năm,7.063.145,6.117.893,7063145.0,6117893.0
Thuế TNDN phải trả đầu năm,Chi phí khác không được khấu trừ thuếChênh lệch tạm thời chi phí dự phòng đầu tư dài hạn theo quy định tại Thông tư 48 > Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,2.860.927,3.327.286,2860927.0,3327286.0
Thuế TNDN đã nộp ở nước ngoài trong năm,Chi phí khác không được khấu trừ thuếChênh lệch tạm thời chi phí dự phòng đầu tư dài hạn theo quy định tại Thông tư 48 > Thuế TNDN đã nộp ở nước ngoài trong năm,Thuế TNDN đã nộp ở nước ngoài trong năm,(8.840),(10.915),-8840.0,-10915.0
Thuế TNDN đã nộp trong nước trong năm,Chi phí khác không được khấu trừ thuếChênh lệch tạm thời chi phí dự phòng đầu tư dài hạn theo quy định tại Thông tư 48 > Thuế TNDN đã nộp trong nước trong năm,Thuế TNDN đã nộp trong nước trong năm,(6.442.680),(6.599.844),-6442680.0,-6599844.0
Bù trừ số thuế nộp thừa các năm trước(Giảm) khác,Bù trừ số thuế nộp thừa các năm trước(Giảm) khác,Bù trừ số thuế nộp thừa các năm trước(Giảm) khác,4.024(107),26.653(146),,
Thuế TNDN phải trả thuần cuối năm,Bù trừ số thuế nộp thừa các năm trước(Giảm) khác > Thuế TNDN phải trả thuần cuối năm,Thuế TNDN phải trả thuần cuối năm,3.476.469,2.860.927,3476469.0,2860927.0
