row_label_raw,row_label_full,Bên liên quan,Số dư,Phải thu,Phải trả,numeric__Số dư,numeric__Phải thu,numeric__Phải trả
,,,,Triệu VND,Triệu VND,,,
Đại diện chú sở hữu(NHNN),Đại diện chú sở hữu(NHNN),Đại diện chú sở hữu(NHNN),- Tiền gửi của BIDV tại đại diện chủ sở hữu,86.822.754,-,,86822754.0,
Đại diện chú sở hữu(NHNN),Đại diện chú sở hữu(NHNN),Đại diện chú sở hữu(NHNN),- Các khoản vay của BIDV từ đại diện chủ sở hữu,-,15.835.643,,,15835643.0
Bên liên quan của chủ sở hữu (BTC và KBNN),Bên liên quan của chủ sở hữu (BTC và KBNN),Bên liên quan của chủ sở hữu (BTC và KBNN),- Tiền gửi của bên liên quan của chủ sở hữu tại BIDV,-,151.391.147,,,151391147.0
Cổ đôngchiến lượcCác công ty con,Cổ đôngchiến lượcCác công ty con,Cổ đôngchiến lượcCác công ty con,- Tiền gửi của BIDV tại cổ đông chiến lược,595.658,-,,595658.0,
Cổ đôngchiến lượcCác công ty con,Cổ đôngchiến lượcCác công ty con,Cổ đôngchiến lượcCác công ty con,- Tiền gửi tại BIDV của cổ đông chiến lược,-,243.998,,,243998.0
Cổ đôngchiến lượcCác công ty con,Cổ đôngchiến lượcCác công ty con,Cổ đôngchiến lượcCác công ty con,- Tiền gửi tại BIDV của các công ty con,,5.382.668,,,5382668.0
Cổ đôngchiến lượcCác công ty con,Cổ đôngchiến lượcCác công ty con,Cổ đôngchiến lượcCác công ty con,- Tiền vay từ BIDV của các công ty con,1.055.000,-,,1055000.0,
Cổ đôngchiến lượcCác công ty con,Cổ đôngchiến lượcCác công ty con,Cổ đôngchiến lượcCác công ty con,- Tiền gửi của BIDV tại các công ty con,9.710.886,-,,9710886.0,
Cổ đôngchiến lượcCác công ty con,Cổ đôngchiến lượcCác công ty con,Cổ đôngchiến lượcCác công ty con,- Phải thu các công ty con,208.760,-,,208760.0,
Các công tyliên doanh,Các công tyliên doanh,Các công tyliên doanh,- Tiền gửi tại BIDV của các công ty liên doanh,-,4.750.940,,,4750940.0
Các công tyliên doanh,Các công tyliên doanh,Các công tyliên doanh,- Tiền gửi từ BIDV của các công ty liên doanh,2.563.915,-,,2563915.0,
"Các công tyliên kếtNgười quản lý, thành viên ban kiểm soát","Các công tyliên kếtNgười quản lý, thành viên ban kiểm soát","Các công tyliên kếtNgười quản lý, thành viên ban kiểm soát",- Tiền gửi tại BIDV của các công ty liên kết,-,780.318,,,780318.0
"Các công tyliên kếtNgười quản lý, thành viên ban kiểm soát","Các công tyliên kếtNgười quản lý, thành viên ban kiểm soát","Các công tyliên kếtNgười quản lý, thành viên ban kiểm soát",- Phải thu các công ty liên kết,53.725,-,,53725.0,
"Các công tyliên kếtNgười quản lý, thành viên ban kiểm soát","Các công tyliên kếtNgười quản lý, thành viên ban kiểm soát","Các công tyliên kếtNgười quản lý, thành viên ban kiểm soát","- Tiền gửi của người quản lý, thành viên Ban Kiểm soát tại BIDV",-,77.347,,,77347.0
"Các công tyliên kếtNgười quản lý, thành viên ban kiểm soát","Các công tyliên kếtNgười quản lý, thành viên ban kiểm soát","Các công tyliên kếtNgười quản lý, thành viên ban kiểm soát","- Dư nợ thể tín dụng của người quản lý, thành viên Ban Kiểm soát tại BIDV",992,-,,992.0,
