row_label_raw,row_label_full,Khoản mục > CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH RIÊNG,Số đã trình bày trước đó > CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH RIÊNG,Điều chỉnh > CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH RIÊNG,Số trình bày lại > CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH RIÊNG,numeric__Số đã trình bày trước đó > CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH RIÊNG,numeric__Điều chỉnh > CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH RIÊNG,numeric__Số trình bày lại > CÁC CHỈ TIÊU NGOÀI BÁO CÁO TÌNH HÌNH TÀI CHÍNH RIÊNG
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,6.999.728,(265),6.999.463,6999728.0,-265.0,6999463.0
Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,19.171.327,4.072,19.175.399,19171327.0,4072.0,19175399.0
