row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,Triệu VND,Triệu VND,,
"Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",33.217.669,28.231.385,33217669.0,28231385.0
Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,14.101.782,12.069.780,14101782.0,12069780.0
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,6.498.983,4.643.815,6498983.0,4643815.0
- Phải trả nhân viên,- Phải trả nhân viên,- Phải trả nhân viên,5.256.087,4.144.595,5256087.0,4144595.0
- Phải trả nội bộ khác,- Phải trả nội bộ khác,- Phải trả nội bộ khác,1.242.896,499.220,1242896.0,499220.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,7.602.799,7.425.965,7602799.0,7425965.0
- Thuế và các khoản phải trả khác cho ngân sách Nhà nước,- Thuế và các khoản phải trả khác cho ngân sách Nhà nước,- Thuế và các khoản phải trả khác cho ngân sách Nhà nước,3.895.409,3.218.466,3895409.0,3218466.0
- Phải trả bên ngoài khác,- Phải trả bên ngoài khác,- Phải trả bên ngoài khác,3.707.390,4.207.499,3707390.0,4207499.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",2.845.238,2.862.429,2845238.0,2862429.0
,,,50.164.689,43.163.594,50164689.0,43163594.0
