row_label_raw,row_label_full,col_0,Quá hạn,Không chịu rủi ro lãi suất do định giá lại,Kỳ thay đổi lãi suất,Kỳ thay đổi lãi suất_1,Kỳ thay đổi lãi suất_2,Kỳ thay đổi lãi suất_3,Kỳ thay đổi lãi suất_4,Kỳ thay đổi lãi suất_5,Tổng,numeric__Quá hạn,numeric__Không chịu rủi ro lãi suất do định giá lại,numeric__Kỳ thay đổi lãi suất,numeric__Kỳ thay đổi lãi suất_1,numeric__Kỳ thay đổi lãi suất_2,numeric__Kỳ thay đổi lãi suất_3,numeric__Kỳ thay đổi lãi suất_4,numeric__Kỳ thay đổi lãi suất_5,numeric__Tổng
,,,Quá hạn,Không chịu rủi ro lãi suất do định giá lại,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3 tháng đến 6 tháng,Từ trên 6 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Trên 5 năm,Tổng,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,12.357.415,-,-,-,-,-,-,12.357.415,,12357415.0,,,,,,,12357415.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,69.950.786,47.686.842,-,-,-,-,-,117.637.628,,69950786.0,47686842.0,,,,,,117637628.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,407.467.241,9.860.531,44.349.683,-,-,-,461.677.455,,,407467241.0,9860531.0,44349683.0,,,,461677455.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,1.368.808,-,23.928.393,-,-,25.297.201,,,,1368808.0,,23928393.0,,,25297201.0
Cho vay khách hàng và trái phiếu doanh nghiệp chưa niêm yết (*),Tài sản > Cho vay khách hàng và trái phiếu doanh nghiệp chưa niêm yết (*),Cho vay khách hàng và trái phiếu doanh nghiệp chưa niêm yết (*),51.464.375,-,465.969.559,902.197.630,722.154.361,150.777.669,31.420.198,950.789,2.324.934.581,51464375.0,,465969559.0,902197630.0,722154361.0,150777669.0,31420198.0,950789.0,2324934581.0
Chứng khoán đầu tư (không bao gồm trái phiếu doanh nghiệp chưa niêm yết) (*),Tài sản > Chứng khoán đầu tư (không bao gồm trái phiếu doanh nghiệp chưa niêm yết) (*),Chứng khoán đầu tư (không bao gồm trái phiếu doanh nghiệp chưa niêm yết) (*),-,11.572.261,10.114.000,13.757.000,35.422.000,62.783.000,70.272.615,74.824.041,278.744.917,,11572261.0,10114000.0,13757000.0,35422000.0,62783000.0,70272615.0,74824041.0,278744917.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,8.085.623,-,-,-,-,-,-,8.085.623,,8085623.0,,,,,,,8085623.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,12.292.623,-,-,-,-,-,-,12.292.623,,12292623.0,,,,,,,12292623.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),370.657,58.406.288,-,-,-,-,-,-,58.776.945,370657.0,58406288.0,,,,,,,58776945.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,51.835.032,172.664.996,931.237.642,927.183.969,801.926.044,237.489.062,101.692.813,75.774.830,3.299.804.388,51835032.0,172664996.0,931237642.0,927183969.0,801926044.0,237489062.0,101692813.0,75774830.0,3299804388.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Tiền gửi và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi và vay từ NHNN và các TCTD khác,Tiền gửi và vay từ NHNN và các TCTD khác,-,-,515.570.304,93.307.896,4.499.636,5.377.030,210.606,97.681,619.063.153,,,515570304.0,93307896.0,4499636.0,5377030.0,210606.0,97681.0,619063153.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,847.510.966,406.071.030,409.457.180,440.053.203,92.764.871,35.355,2.195.892.605,,,847510966.0,406071030.0,409457180.0,440053203.0,92764871.0,35355.0,2195892605.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,(46.910),143.137,1.202.877,(14.542),(1.054.005),-,230.557,,,-46910.0,143137.0,1202877.0,-14542.0,-1054005.0,,230557.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,5.418.904,5.344.049,1.117.030,32.455,78.595,52.036,12.043.069,,,5418904.0,5344049.0,1117030.0,32455.0,78595.0,52036.0,12043069.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,7.946.460,22.985.146,105.019.056,61.311.342,17.205.770,10.640.000,225.107.774,,,7946460.0,22985146.0,105019056.0,61311342.0,17205770.0,10640000.0,225107774.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,50.164.689,-,-,-,-,-,-,50.164.689,,50164689.0,,,,,,,50164689.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,50.164.689,1.376.399.724,527.851.258,521.295.779,506.759.488,109.205.837,10.825.072,3.102.501.847,,50164689.0,1376399724.0,527851258.0,521295779.0,506759488.0,109205837.0,10825072.0,3102501847.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,51.835.032,122.500.307,(445.162.082),399.332.711,280.630.265,(269.270.426),(7.513.024),64.949.758,197.302.541,51835032.0,122500307.0,-445162082.0,399332711.0,280630265.0,-269270426.0,-7513024.0,64949758.0,197302541.0
