row_label_raw,row_label_full,col_0,Chứng khoán đầu tư'sản sàng để bán,Chứng khoán đầu tư'sản sàng để bán_1,Chứng khoán đầu tư'sản sàng để bán_2,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn_1,Chứng khoán đầu tư giữ đến ngày đáo hạn_2,numeric__Chứng khoán đầu tư'sản sàng để bán,numeric__Chứng khoán đầu tư'sản sàng để bán_1,numeric__Chứng khoán đầu tư'sản sàng để bán_2,numeric__Chứng khoán đầu tư giữ đến ngày đáo hạn,numeric__Chứng khoán đầu tư giữ đến ngày đáo hạn_1,numeric__Chứng khoán đầu tư giữ đến ngày đáo hạn_2
,,,Dự phòng giảm giá,Dự phòng chung,Dự phòng cụ thể,Dự phòng chung,Dự phòng cụ thể,Tổng cộng,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,21.862,155.250,9.300,986.758,1.173.170,,21862.0,155250.0,9300.0,986758.0,1173170.0
Trích lập/(Hoàn nhập)(xem Thuyết minh số 29.2),Trích lập/(Hoàn nhập)(xem Thuyết minh số 29.2),Trích lập/(Hoàn nhập)(xem Thuyết minh số 29.2),-,(21.862),(155.250),16.695,(986.758),(1.147.175),,-21862.0,-155250.0,16695.0,-986758.0,-1147175.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,-,-,25.995,-,25.995,,,,25995.0,,25995.0
