row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,Triệu VND,Triệu VND,,
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,15.810.360,8.943.092,15810360.0,8943092.0
Thu nhập từ nợ xấu đã được xử lý,Thu nhập từ nợ xấu đã được xử lý,Thu nhập từ nợ xấu đã được xử lý,14.382.558,7.801.719,14382558.0,7801719.0
Thu nhập về các công cụ tài chính phải sinh khác,Thu nhập về các công cụ tài chính phải sinh khác,Thu nhập về các công cụ tài chính phải sinh khác,978.082,947.284,978082.0,947284.0
Thu khác,Thu khác,Thu khác,449.720,194.089,449720.0,194089.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(3.059.551),(4.172.619),-3059551.0,-4172619.0
Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,(1.194.755),(1.971.785),-1194755.0,-1971785.0
Chi hỗ trợ công tác xã hội,Chi hỗ trợ công tác xã hội,Chi hỗ trợ công tác xã hội,(392.991),(286.217),-392991.0,-286217.0
Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,(1.471.805),(1.914.617),-1471805.0,-1914617.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,12.750.809,4.770.473,12750809.0,4770473.0
