row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,TSCĐ vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__TSCĐ vô hình khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,4.844.087,2.918.286,2.422,7.764.795,4844087.0,2918286.0,2422.0,7764795.0
Mua trong năm,Nguyên giá TSCĐ vô hình > Mua trong năm,Mua trong năm,301.429,251.457,-,552.886,301429.0,251457.0,,552886.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.414),-,(2.414),,-2414.0,,-2414.0
Tăng khác,Nguyên giá TSCĐ vô hình > Tăng khác,Tăng khác,-,436,-,436,,436.0,,436.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,5.145.516,3.167.765,2.422,8.315.703,5145516.0,3167765.0,2422.0,8315703.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,559.464,2.030.265,889,2.590.618,559464.0,2030265.0,889.0,2590618.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,49.495,249.601,121,299.217,49495.0,249601.0,121.0,299217.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.414),-,(2.414),,-2414.0,,-2414.0
Tăng khác,Giá trị hao mòn lũy kế > Tăng khác,Tăng khác,-,436,-,436,,436.0,,436.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,608.959,2.277.888,1.010,2.887.857,608959.0,2277888.0,1010.0,2887857.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,4.284.623,888.021,1.533,5.174.177,4284623.0,888021.0,1533.0,5174177.0
Số dư cuối năm,Giá trị còn lại của TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,4.536.557,889.877,1.412,5.427.846,4536557.0,889877.0,1412.0,5427846.0
