row_label_raw,row_label_full,"I. Tổng số cán bộ, nhân viên bình quân trong năm (người)",Năm nay > 26.494,Năm trước > 26.457,numeric__Năm nay > 26.494,numeric__Năm trước > 26.457
"II. Thu nhập của cán bộ, nhân viên (triệu đồng)","II. Thu nhập của cán bộ, nhân viên (triệu đồng)","II. Thu nhập của cán bộ, nhân viên (triệu đồng)",,,,
1. Tổng thu nhập,"II. Thu nhập của cán bộ, nhân viên (triệu đồng) > 1. Tổng thu nhập",1. Tổng thu nhập,13.477.496,12.006.508,13477496.0,12006508.0
2. Thu nhập bình quân tháng,"II. Thu nhập của cán bộ, nhân viên (triệu đồng) > 2. Thu nhập bình quân tháng",2. Thu nhập bình quân tháng,"42,39","37,82",42.39,37.82
