row_label_raw,row_label_full,STT,CHỈ TIỀU,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lại),numeric__CHỈ TIỀU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lại)
B.,B.,B.,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮ'U,,,,,,,
I.,B. > I.,I.,Các khoản nợ Chính phủ và NHNN,17,217.524.929,167.226.790,,17.0,217524929.0,167226790.0
II.,B. > II.,II.,Tiền gửi và vay các TCTD khác,18,401.538.224,222.117.274,,18.0,401538224.0,222117274.0
1.,B. > 1.,1.,Tiền gửi của các TCTD khác,,386.845.459,201.788.712,,,386845459.0,201788712.0
2.,B. > 2.,2.,Vay các TCTD khác,,14.692.765,20.328.562,,,14692765.0,20328562.0
III.,B. > III.,III.,Tiền gửi của khách hàng,19,2.195.892.605,1.929.557.458,,19.0,2195892605.0,1929557458.0
IV.,B. > IV.,IV.,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,10,230.557,-,,10.0,230557.0,
V.,B. > V.,V.,"Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro",20,12.043.069,11.981.467,,20.0,12043069.0,11981467.0
VI.,B. > VI.,VI.,Phát hành giấy tờ có giá,21,225.107.774,199.000.165,,21.0,225107774.0,199000165.0
VII.,B. > VII.,VII.,Các khoản nợ khác,22,50.164.689,43.163.594,,22.0,50164689.0,43163594.0
1.,B. > 1.,1.,"Các khoản lãi, phí phải trả",,33.217.669,28.231.385,,,33217669.0,28231385.0
2.,B. > 2.,2.,Các khoản phải trả và công nợ khác,,16.947.020,14.932.209,,,16947020.0,14932209.0
,,,TỔNG NỘ PHẢI TRẢ,,3.102.501.847,2.573.046.748,,,3102501847.0,2573046748.0
VIII.,VIII.,VIII.,Vốn và các quỹ,,,,,,,
1.,VIII. > 1.,1.,Vốn của Ngân hàng,24,88.020.709,83.267.535,,24.0,88020709.0,83267535.0
,,,Vốn điều lệ,,70.213.619,68.975.153,,,70213619.0,68975153.0
,,,Thặng dư vốn cổ phần,,17.807.090,14.292.382,,,17807090.0,14292382.0
2.,VIII. > 2.,2.,Quỹ của Ngân hàng,24,33.355.349,18.848.053,,24.0,33355349.0,18848053.0
3.,VIII. > 3.,3.,Lợi nhuận chưa phân phối,24,41.641.017,34.235.054,,24.0,41641017.0,34235054.0
,,,TỔNG VỐN CHỦ SỞ HỮ'U,,163.017.075,136.350.642,,,163017075.0,136350642.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮ'U,,3.265.518.922,2.709.397.390,,,3265518922.0,2709397390.0
