row_label_raw,row_label_full,Khoản mục,Số đã trình bày,Điều chỉnh,Số trình bày lại,numeric__Số đã trình bày,numeric__Điều chỉnh,numeric__Số trình bày lại
BẢO CẢO KẾT QUẢ HOẠT ĐỘNG RIÊNG,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG RIÊNG,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG RIÊNG,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG RIÊNG,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG RIÊNG,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG RIÊNG,,,
Thu nhập lãi và các khoản thu nhập tương tự,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,135.299.365,(4.598),135.294.767,135299365.0,-4598.0,135294767.0
Thu nhập lãi thuần,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Thu nhập lãi thuần,Thu nhập lãi thuần,56.238.101,(4.598),56.233.503,56238101.0,-4598.0,56233503.0
Thu nhập từ hoạt động dịch vụ,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,9.663.462,(318),9.663.144,9663462.0,-318.0,9663144.0
Lãi thuần từ hoạt động dịch vụ,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,5.629.062,(318),5.628.744,5629062.0,-318.0,5628744.0
Thu nhập từ hoạt động khác,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,8.905.156,37.936,8.943.092,8905156.0,37936.0,8943092.0
Lãi thuần từ hoạt động khác,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,4.732.537,37.936,4.770.473,4732537.0,37936.0,4770473.0
Chi phí khấu hao và khấu trừ,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Chi phí khấu hao và khấu trừ,Chi phí khấu hao và khấu trừ,(1.208.424),7.096,(1.201.328),-1208424.0,7096.0,-1201328.0
Chi phí hoạt động khác,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Chi phí hoạt động khác,Chi phí hoạt động khác,(9.744.115),(19.783),(9.763.898),-9744115.0,-19783.0,-9763898.0
Chi phí hoạt động,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Chi phí hoạt động,Chi phí hoạt động,(25.796.413),(12.687),(25.809.100),-25796413.0,-12687.0,-25809100.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,51.215.420,20.333,51.235.753,51215420.0,20333.0,51235753.0
Chi phí dự phòng rủi ro tín dụng,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(20.606.172),68.290,(20.537.882),-20606172.0,68290.0,-20537882.0
Tổng lợi nhuận trước thuế,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,30.609.248,88.623,30.697.871,30609248.0,88623.0,30697871.0
Chi phí thuế TNDN hiện hành,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(6.100.167),(17.725),(6.117.892),-6100167.0,-17725.0,-6117892.0
Chi phí thuế TNDN,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Chi phí thuế TNDN,Chi phí thuế TNDN,(6.100.229),(17.725),(6.117.954),-6100229.0,-17725.0,-6117954.0
Lợi nhuận sau thuế,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG RIÊNG > Lợi nhuận sau thuế,Lợi nhuận sau thuế,24.509.019,70.898,24.579.917,24509019.0,70898.0,24579917.0
