row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Nhà cửa,Tổng,numeric__Quyền sử dụng đất,numeric__Nhà cửa,numeric__Tổng
,,,VND,VND,VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,55.702.700.965,804.846.314.650,860.549.015.615,55702700965.0,804846314650.0,860549015615.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,3.086.578.819,3.086.578.819,,3086578819.0,3086578819.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,55.702.700.965,807.932.893.469,863.635.594.434,55702700965.0,807932893469.0,863635594434.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,-,300.950.552.522,300.950.552.522,,300950552522.0,300950552522.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,-,34.493.919.665,34.493.919.665,,34493919665.0,34493919665.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,-,335.444.472.187,335.444.472.187,,335444472187.0,335444472187.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,55.702.700.965,503.895.762.128,559.598.463.093,55702700965.0,503895762128.0,559598463093.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,55.702.700.965,472.488.421.282,528.191.122.247,55702700965.0,472488421282.0,528191122247.0
