row_label_raw,row_label_full,col_0,CHÌ TIÊU,Mã số,Năm nay,Năm trước,numeric__CHÌ TIÊU,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
I.,I.,I.,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,18.040.591.977.880,13.693.502.261.178,,1.0,18040591977880.0,13693502261178.0
2.,I. > 2.,2.,"Điều chỉnh cho các khoản:Khấu hao tài sản cố định, bắt động sản đầu tư,phân bổ lợi thế thường mại và chi phí thuê đấtCác khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá hối đoái do đánh giálại các khoản mục tiền tệ có gốc ngoại tệLãi từ hoạt động đầu tưChỉ phí lãi vay",0203040506,8.470.683.260.156(49.830.475.782)349.627.160.986(1.298.854.971.642)3.114.855.868.974,6.927.967.223.166108.500.407.214173.470.579.978(1.718.310.403.845)2.287.360.810.880,,203040506.0,,
3.,I. > 3.,3.,"Lợi nhuận từ hoạt động kinh doanh trướcthay đổi vốn lưu độngThay đổi các khoản phải thuThay đổi hàng tồn khoThay đổi các khoản phải trả (Không kế lãi vayphải trả, thuế thu nhập doanh nghiệp phải nộp)Thay đổi chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền thu khác từ hoạt động kinh doanhTiền chi khác cho hoạt động kinh doanhLưu chuyển tiền thuần từ hoạt động kinhdoanh",091011121415161720,(8.743.129.086.281)(7.241.774.532.693)11.393.151.396.033(1.682.709.234.351)(2.884.165.976.918)(1.994.842.667.708)439.016.917.840(546.760.579.903)17.365.859.056.591,(1.818.671.846.432)(10.759.800.904.696)1.994.355.381.518(227.706.209.603)(2.332.422.296.347)(936.764.513.356)447.272.727(783.607.107.167)6.608.320.655.215,,9.101112141516173e+16,,
II.,II.,II.,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
1.,II. > 1.,1.,"Tiền chi mua sắm, xây dựng TSCĐ và các tàisản dài hạn khác",21,(25.748.320.476.719),(35.495.026.797.327),,21.0,-25748320476719.0,-35495026797327.0
2.,II. > 2.,2.,"Tiền thu thanh lý, nhượng bán TSCĐ và các tàisản dài hạn khác",22,68.816.516.303,1.253.593.566.574,,22.0,68816516303.0,1253593566574.0
3.,II. > 3.,3.,"Tiền chi cho vay, mua công cụ nợ của đơn vịkhác",23,(30.319.812.195.952),(28.505.457.880.646),,23.0,-30319812195952.0,-28505457880646.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợcủa đơn vị khác",24,27.786.077.781.891,31.587.656.044.222,,24.0,27786077781891.0,31587656044222.0
5.,II. > 5.,5.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,(444.100.000.000),-,,25.0,-444100000000.0,
6.,II. > 6.,6.,Tiền thu hồi đầu tư vốn vào đơn vị khác,26,1.605.733.375.384,31.246.619.001,,26.0,1605733375384.0,31246619001.0
7.,II. > 7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuậnđược chiaLưu chuyển tiền thuần từ hoạt động đầu tư",2730,1.237.212.130.395(25.814.392.868.698),1.339.850.195.728(29.788.138.252.448),,2730.0,,
