row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND > Số đầu năm(Trình bày lại),numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND > Số đầu năm(Trình bày lại)
C.,C.,C.,NỘ PHẢI TRẢ,300,,126.679.189.940.972,109.842.249.570.282,,300.0,,126679189940972.0,109842249570282.0
I.,I.,I.,Nợ ngắn hạn,310,,94.186.268.324.508,75.225.243.262.689,,310.0,,94186268324508.0,75225243262689.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,18,21.183.376.049.432,14.046.841.160.127,,311.0,18.0,21183376049432.0,14046841160127.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,19,839.645.735.088,739.178.306.553,,312.0,19.0,839645735088.0,739178306553.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,20,2.377.396.188.571,1.743.411.429.415,,313.0,20.0,2377396188571.0,1743411429415.0
4.,4.,4.,Phải trả người lao động,314,,995.918.246.781,890.893.543.298,,314.0,,995918246781.0,890893543298.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,21,939.347.023.380,682.112.072.502,,315.0,21.0,939347023380.0,682112072502.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,152.519.279.244,11.060.479.431,,318.0,,152519279244.0,11060479431.0
7.,7.,7.,Phải trả ngắn hạn khác,319,22,2.011.792.352.575,188.076.845.190,,319.0,22.0,2011792352575.0,188076845190.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,23,64.694.957.245.143,55.882.686.213.459,,320.0,23.0,64694957245143.0,55882686213459.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,24,15.437.227.372,13.672.830.889,,321.0,24.0,15437227372.0,13672830889.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,25,975.878.976.922,1.027.310.381.825,,322.0,25.0,975878976922.0,1027310381825.0
II.,II.,II.,Nợ dài hạn,330,,32.492.921.616.464,34.617.006.307.593,,330.0,,32492921616464.0,34617006307593.0
1.,1.,1.,Phải trả người bán dài hạn,331,18,4.237.943.510.056,6.283.630.279.040,,331.0,18.0,4237943510056.0,6283630279040.0
2.,2.,2.,Chỉ phí phải trả dài hạn,333,21,607.363.800.426,1.089.692.237.207,,333.0,21.0,607363800426.0,1089692237207.0
3.,3.,3.,Phải trả dài hạn khác,337,22,18.032.488.855,12.476.505.170,,337.0,22.0,18032488855.0,12476505170.0
4.,4.,4.,Vay và nợ thuê tài chính dài hạn,338,23,27.479.194.057.074,27.080.443.256.096,,338.0,23.0,27479194057074.0,27080443256096.0
5.,5.,5.,Thuế thu nhập hoãn lại phải trả,341,,31.013.808.361,29.268.483.140,,341.0,,31013808361.0,29268483140.0
6.,6.,6.,Dự phòng phải trả dài hạn,342,24,119.373.951.692,121.495.546.940,,342.0,24.0,119373951692.0,121495546940.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,131.220.010.876.575,114.647.457.983.699,,400.0,,131220010876575.0,114647457983699.0
I.,I.,I.,Vốn chủ sở hữu,410,26,131.220.010.876.575,114.647.457.983.699,,410.0,26.0,131220010876575.0,114647457983699.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,76.754.658.550.000,63.962.502.000.000,,411.0,,76754658550000.0,63962502000000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,76.754.658.550.000,63.962.502.000.000,,,,76754658550000.0,63962502000000.0
2.,2.,2.,Quỹ đầu tư phát triển,418,,1.388.437.800.829,794.841.242.128,,418.0,,1388437800829.0,794841242128.0
3.,3.,3.,Lợi nhuận sau thuế chưa phân phối,421,,51.037.901.749.343,49.599.124.109.203,,421.0,,51037901749343.0,49599124109203.0
,,,- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,421a,,35.657.348.003.468,37.624.250.548.129,,,,35657348003468.0,37624250548129.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,15.380.553.745.875,11.974.873.561.074,,,,15380553745875.0,11974873561074.0
4.,4.,4.,Lợi ích của cổ đông không kiểm soát,429,,2.039.012.776.403,290.990.632.368,,429.0,,2039012776403.0,290990632368.0
,,,TỔNG CỘNG NGUỒN VỐN(440=300+400),440,,257.899.200.817.547,224.489.707.553.981,,440.0,,257899200817547.0,224489707553981.0
