row_label_raw,row_label_full,col_0,Lợi thế thường mạiVND,numeric__Lợi thế thường mạiVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,
Số dư đầu năm và cuối năm,NGUYÊN GIÁ > Số dư đầu năm và cuối năm,Số dư đầu năm và cuối năm,121.195.363.677,121195363677.0
HAO MÒN,HAO MÒN,HAO MÒN,HAO MÒN,
Số dư đầu năm,HAO MÒN > Số dư đầu năm,Số dư đầu năm,57.582.236.954,57582236954.0
Phân bổ trong năm,HAO MÒN > Phân bổ trong năm,Phân bổ trong năm,12.099.941.304,12099941304.0
Số dư cuối năm,HAO MÒN > Số dư cuối năm,Số dư cuối năm,69.682.178.258,69682178258.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,63.613.126.723,63613126723.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,51.513.185.419,51513185419.0
