row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,29,158.332.317.934.212,140.561.387.448.572,,1.0,29.0,158332317934212.0,140561387448572.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,29,2.216.223.315.730,1.706.275.317.185,,2.0,29.0,2216223315730.0,1706275317185.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,156.116.094.618.482,138.855.112.131.387,,10.0,,156116094618482.0,138855112131387.0
4.,4.,4.,Giá vốn hàng bán,11,30,131.618.306.435.300,120.357.563.003.703,,11.0,30.0,131618306435300.0,120357563003703.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,24.497.788.183.182,18.497.549.127.684,,20.0,,24497788183182.0,18497549127684.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,32,2.081.789.823.040,2.618.917.240.287,,21.0,32.0,2081789823040.0,2618917240287.0
7.,7.,7.,Chi phí tài chính,22,33,4.603.575.989.190,3.966.636.074.605,,22.0,33.0,4603575989190.0,3966636074605.0
,,,- Trong đó: Chi phí lãi vay,23,,3.114.855.868.974,2.287.360.810.880,,23.0,,3114855868974.0,2287360810880.0
8.,8.,8.,Chi phí bán hàng,25,34,2.633.630.711.908,2.337.308.685.264,,25.0,34.0,2633630711908.0,2337308685264.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,34,1.436.537.357.489,1.545.516.022.772,,26.0,34.0,1436537357489.0,1545516022772.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,17.905.833.947.635,13.267.005.585.330,,30.0,,17905833947635.0,13267005585330.0
11.,11.,11.,Thu nhập khác,31,35,305.593.357.911,1.159.769.685.093,,31.0,35.0,305593357911.0,1159769685093.0
12.,12.,12.,Chi phí khác,32,36,170.835.327.666,733.273.009.245,,32.0,36.0,170835327666.0,733273009245.0
13.,13.,13.,Lợi nhuận khác (40=31-32),40,,134.758.030.245,426.496.675.848,,40.0,,134758030245.0,426496675848.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,18.040.591.977.880,13.693.502.261.178,,50.0,,18040591977880.0,13693502261178.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,37,2.574.223.834.884,1.765.806.007.240,,51.0,37.0,2574223834884.0,1765806007240.0
16.,16.,16.,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,52,,(48.563.428.610),(92.327.367.333),,52.0,,-48563428610.0,-92327367333.0
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,15.514.931.571.606,12.020.023.621.271,,60.0,,15514931571606.0,12020023621271.0
17.1,17.1,17.1,Lợi nhuận sau thuế của Công ty mẹ,61,,15.453.174.006.223,12.021.443.836.074,,61.0,,15453174006223.0,12021443836074.0
17.2,17.2,17.2,Lợi nhuận/(Lỗ) sau thuế của cổ đông không kiểm soát,62,,61.757.565.383,(1.420.214.803),,62.0,,61757565383.0,-1420214803.0
18.,18.,18.,Lãi cơ bản trên cổ phiếu,70,38,1.973,1.505,,70.0,38.0,1973.0,1505.0
