row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,103.659.402.759.724,86.674.276.272.995,,100.0,,103659402759724.0,86674276272995.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,5,8.300.890.304.205,6.887.646.139.852,,110.0,5.0,8300890304205.0,6887646139852.0
1.,1.,1.,Tiền,111,,4.602.047.650.138,2.919.531.945.908,,111.0,,4602047650138.0,2919531945908.0
2.,2.,2.,Các khoản tương đương tiền,112,,3.698.842.654.067,3.968.114.193.944,,112.0,,3698842654067.0,3968114193944.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,6,19.484.412.761.405,18.974.716.730.905,,120.0,6.0,19484412761405.0,18974716730905.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,19.484.412.761.405,18.974.716.730.905,,123.0,,19484412761405.0,18974716730905.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,15.042.323.117.690,7.647.800.286.988,,130.0,,15042323117690.0,7647800286988.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,7,10.971.774.018.235,4.352.135.419.872,,131.0,7.0,10971774018235.0,4352135419872.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,8,1.878.084.035.938,2.118.824.427.004,,132.0,8.0,1878084035938.0,2118824427004.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,,-,87.461.616.439,,135.0,,,87461616439.0
4.,4.,4.,Phải thu ngắn hạn khác,136,9,2.318.283.126.429,1.248.992.845.378,,136.0,9.0,2318283126429.0,1248992845378.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,,(132.548.698.812),(159.993.736.285),,137.0,,-132548698812.0,-159993736285.0
6.,6.,6.,Tài sản thiếu chờ xử lý,139,,6.730.635.900,379.714.580,,139.0,,6730635900.0,379714580.0
IV.,IV.,IV.,Hàng tồn kho,140,10,52.828.227.344.442,46.091.222.189.472,,140.0,10.0,52828227344442.0,46091222189472.0
1.,1.,1.,Hàng tồn kho,141,,52.892.273.238.885,46.192.292.081.813,,141.0,,52892273238885.0,46192292081813.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(64.045.894.443),(101.069.892.341),,149.0,,-64045894443.0,-101069892341.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,8.003.549.231.982,7.072.890.925.778,,150.0,,8003549231982.0,7072890925778.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,11,567.293.994.902,426.149.499.088,,151.0,11.0,567293994902.0,426149499088.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,7.429.884.133.408,6.636.666.459.154,,152.0,,7429884133408.0,6636666459154.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,20,6.371.103.672,10.074.967.536,,153.0,20.0,6371103672.0,10074967536.0
