row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,VND,VND,,
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,
Lãi vay phải trả,a. Ngắn hạn > Lãi vay phải trả,Lãi vay phải trả,350.042.075.252,284.756.230.119,350042075252.0,284756230119.0
Chi phí khuyến mại,a. Ngắn hạn > Chi phí khuyến mại,Chi phí khuyến mại,311.145.292.606,188.258.389.011,311145292606.0,188258389011.0
Tiền điện,a. Ngắn hạn > Tiền điện,Tiền điện,126.475.664.250,66.595.912.596,126475664250.0,66595912596.0
Chi phí phải trả cho nhà thầu,a. Ngắn hạn > Chi phí phải trả cho nhà thầu,Chi phí phải trả cho nhà thầu,95.638.847.980,21.179.331.823,95638847980.0,21179331823.0
Lương và thường,a. Ngắn hạn > Lương và thường,Lương và thường,4.492.943.411,3.968.326.004,4492943411.0,3968326004.0
Chi phí phải trả khác,a. Ngắn hạn > Chi phí phải trả khác,Chi phí phải trả khác,51.552.199.881,117.353.882.949,51552199881.0,117353882949.0
,,,939.347.023.380,682.112.072.502,939347023380.0,682112072502.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,
Chi phí trích trước tạm tính giá vốn đất,b. Dài hạn > Chi phí trích trước tạm tính giá vốn đất,Chi phí trích trước tạm tính giá vốn đất,607.363.800.426,1.089.692.237.207,607363800426.0,1089692237207.0
khu công nghiệp,khu công nghiệp,khu công nghiệp,,,,
,,,607.363.800.426,1.089.692.237.207,607363800426.0,1089692237207.0
