row_label_raw,row_label_full,Bên cho vay > Ngân hàng TMCP Ngoại thương Việt Nam > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Hà Nội > Ngân hàng TNHH MTV HSBC Việt Nam > Ngân hàng TNHH Woori Việt Nam - Chi nhánh Bắc Ninh > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hà Thành,Số cuối năm VND > 30.016.101.894.133 > 3.304.380.834.562 > 1.977.047.318.061 > 366.400.666.686 > 270.140.762.459,Số đầu năm VND > 25.916.746.559.436 > 695.123.649.174 > 2.661.031.108.243 > 167.575.757.564 > 538.115.798.305,numeric__Số cuối năm VND > 30.016.101.894.133 > 3.304.380.834.562 > 1.977.047.318.061 > 366.400.666.686 > 270.140.762.459,numeric__Số đầu năm VND > 25.916.746.559.436 > 695.123.649.174 > 2.661.031.108.243 > 167.575.757.564 > 538.115.798.305
Ngân hàng Quốc tế VIB,Ngân hàng Quốc tế VIB,Ngân hàng Quốc tế VIB,241.914.065.035,-,241914065035.0,
Ngân hàng BNP Paribas,Ngân hàng BNP Paribas,Ngân hàng BNP Paribas,121.377.732.260,,121377732260.0,
Quỹ bảo vệ môi trường,Quỹ bảo vệ môi trường,Quỹ bảo vệ môi trường,8.000.000.000,9.814.026.105,8000000000.0,9814026105.0
Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,-,390.875.664.682,,390875664682.0
,,,36.305.363.273.196,30.379.282.563.509,36305363273196.0,30379282563509.0
