row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư tại ngày 01 tháng 01 năm 2024,Số dư tại ngày 01 tháng 01 năm 2024,Số dư tại ngày 01 tháng 01 năm 2024,58.147.857.000.000,3.211.560.416.270,818.200.313.964,40.593.031.662.654,65.769.846.491,102.836.419.239.379,58147857000000.0,3211560416270.0,818200313964.0,40593031662654.0,65769846491.0,102836419239379.0
Góp vốn của cổ đông không kiểm soát,Góp vốn của cổ đông không kiểm soát,Góp vốn của cổ đông không kiểm soát,-,-,-,-,233.136.000.000,233.136.000.000,,,,,233136000000.0,233136000000.0
Trả lại vốn góp cho cổ đông thiểu số,Trả lại vốn góp cho cổ đông thiểu số,Trả lại vốn góp cho cổ đông thiểu số,-,-,-,-,(119.560.000),(119.560.000),,,,,-119560000.0,-119560000.0
Lợi nhuận/(lỗ) trong năm,Lợi nhuận/(lỗ) trong năm,Lợi nhuận/(lỗ) trong năm,-,-,-,12.021.443.836.074,(1.420.214.803),12.020.023.621.271,,,,12021443836074.0,-1420214803.0,12020023621271.0
Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,5.814.645.000.000,(3.211.560.416.270),,(2.603.084.583.730),-,-,5814645000000.0,-3211560416270.0,,-2603084583730.0,,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(433.084.559.413),(35.715.587),(433.120.275.000),,,,-433084559413.0,-35715587.0,-433120275000.0
Công ty con trả cổ tức cho cổ đông không kiểm soát,Công ty con trả cổ tức cho cổ đông không kiểm soát,Công ty con trả cổ tức cho cổ đông không kiểm soát,-,-,-,-,(6.286.212.365),(6.286.212.365),,,,,-6286212365.0,-6286212365.0
Hoàn nhập quỹ đã trích,Hoàn nhập quỹ đã trích,Hoàn nhập quỹ đã trích,-,-,(20.800.000.000),20.800.000.000,-,-,,,-20800000000.0,20800000000.0,,
Biến động khác,Biến động khác,Biến động khác,-,-,(2.559.071.836),17.753.618,(53.511.368),(2.594.829.586),,,-2559071836.0,17753618.0,-53511368.0,-2594829586.0
Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,63.962.502.000.000,-,794.841.242.128,49.599.124.109.203,290.990.632.368,114.647.457.983.699,63962502000000.0,,794841242128.0,49599124109203.0,290990632368.0,114647457983699.0
Số dư tại ngày 01 tháng 01 năm 2025,Số dư tại ngày 01 tháng 01 năm 2025,Số dư tại ngày 01 tháng 01 năm 2025,63.962.502.000.000,-,794.841.242.128,49.599.124.109.203,290.990.632.368,114.647.457.983.699,63962502000000.0,,794841242128.0,49599124109203.0,290990632368.0,114647457983699.0
Góp vốn của cổ đông không kiểm soát,Góp vốn của cổ đông không kiểm soát,Góp vốn của cổ đông không kiểm soát,-,-,-,-,687.500.000.000,687.500.000.000,,,,,687500000000.0,687500000000.0
Trả lại vốn góp cho cổ đông thiểu số,Trả lại vốn góp cho cổ đông thiểu số,Trả lại vốn góp cho cổ đông thiểu số,-,-,-,-,(55.020.000),(55.020.000),,,,,-55020000.0,-55020000.0
Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,12.792.156.550.000,-,,(12.792.156.550.000),-,-,12792156550000.0,,,-12792156550000.0,,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,15.453.174.006.223,61.757.565.383,15.514.931.571.606,,,,15453174006223.0,61757565383.0,15514931571606.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(496.049.985.348),(10.739.652),(496.060.725.000),,,,-496049985348.0,-10739652.0,-496060725000.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,600.000.000.000,(600.000.000.000),-,-,,,600000000000.0,-600000000000.0,,
Công ty con trả cổ tức cho cổ đông không kiểm soát,Công ty con trả cổ tức cho cổ đông không kiểm soát,Công ty con trả cổ tức cho cổ đông không kiểm soát,-,-,-,-,(35.960.933.719),(35.960.933.719),,,,,-35960933719.0,-35960933719.0
Hoàn nhập quỹ đã trích,Hoàn nhập quỹ đã trích,Hoàn nhập quỹ đã trích,-,-,(6.403.441.299),6.403.441.299,-,-,,,-6403441299.0,6403441299.0,,
Thay đổi tỷ lệ lợi ích nhưng không mất quyền kiểm soát,Thay đổi tỷ lệ lợi ích nhưng không mất quyền kiểm soát,Thay đổi tỷ lệ lợi ích nhưng không mất quyền kiểm soát,-,-,-,(129.108.197.197),1.031.333.197.197,902.225.000.000,,,,-129108197197.0,1031333197197.0,902225000000.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,(3.485.074.837),3.458.074.826,(27.000.011),,,,-3485074837.0,3458074826.0,-27000011.0
Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,76.754.658.550.000,-,1.388.437.800.829,51.037.901.749.343,2.039.012.776.403,131.220.010.876.575,76754658550000.0,,1388437800829.0,51037901749343.0,2039012776403.0,131220010876575.0
