row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thép,Nông nghiệp,Bắt động sản,Loại trừ,Hợp nhất,numeric__Sản xuất và kinh doanh thép,numeric__Nông nghiệp,numeric__Bắt động sản,numeric__Loại trừ,numeric__Hợp nhất
,,,VND,VND,VND,VND,VND,,,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,129.866.316.964.093,6.906.132.927.160,2.082.662.240.134,-,138.855.112.131.387,129866316964093.0,6906132927160.0,2082662240134.0,,138855112131387.0
Doanh thu thuần từ bán hàng trong nội bộ Tập đoàn,Doanh thu thuần > Doanh thu thuần từ bán hàng trong nội bộ Tập đoàn,Doanh thu thuần từ bán hàng trong nội bộ Tập đoàn,14.871.116.107.413,2.440.122.834,40.044.624.776,(14.913.600.855.023),-,14871116107413.0,2440122834.0,40044624776.0,-14913600855023.0,
Tổng doanh thu thuần của bộ phận,Doanh thu thuần > Tổng doanh thu thuần của bộ phận,Tổng doanh thu thuần của bộ phận,144.737.433.071.506,6.908.573.049.994,2.122.706.864.910,(14.913.600.855.023),138.855.112.131.387,144737433071506.0,6908573049994.0,2122706864910.0,-14913600855023.0,138855112131387.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Lợi nhuận thuần trước thuế của bộ phận,Kết quả hoạt động kinh doanh > Lợi nhuận thuần trước thuế của bộ phận,Lợi nhuận thuần trước thuế của bộ phận,21.965.204.410.529,1.144.037.256.397,1.069.881.601.093,(10.485.621.006.841),13.693.502.261.178,21965204410529.0,1144037256397.0,1069881601093.0,-10485621006841.0,13693502261178.0
(Chỉ phí) thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh > (Chỉ phí) thuế thu nhập doanh nghiệp,(Chỉ phí) thuế thu nhập doanh nghiệp,(1.391.143.788.183),(113.182.871.234),(220.705.440.153),51.553.459.663,(1.673.478.639.907),-1391143788183.0,-113182871234.0,-220705440153.0,51553459663.0,-1673478639907.0
Lợi nhuận thuần sau thuế,Kết quả hoạt động kinh doanh > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,20.574.060.622.346,1.030.854.385.163,849.176.160.940,(10.434.067.547.178),12.020.023.621.271,20574060622346.0,1030854385163.0,849176160940.0,-10434067547178.0,12020023621271.0
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,
Tổng chi phí đã phát sinh để mua tài sản cố định,Các thông tin bộ phận khác > Tổng chi phí đã phát sinh để mua tài sản cố định,Tổng chi phí đã phát sinh để mua tài sản cố định,35.179.794.255.234,249.578.243.725,228.028.440.025,(162.374.141.657),35.495.026.797.327,35179794255234.0,249578243725.0,228028440025.0,-162374141657.0,35495026797327.0
"Khấu hao tài sản cố định và bắt động sản đầu tư, chỉ phí phân bổ và phân bổ lợi thế thường mại","Các thông tin bộ phận khác > Khấu hao tài sản cố định và bắt động sản đầu tư, chỉ phí phân bổ và phân bổ lợi thế thường mại","Khấu hao tài sản cố định và bắt động sản đầu tư, chỉ phí phân bổ và phân bổ lợi thế thường mại",6.473.977.720.597,421.760.548.659,73.723.625.193,(41.494.671.283),6.927.967.223.166,6473977720597.0,421760548659.0,73723625193.0,-41494671283.0,6927967223166.0
