row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thépVND,Nông nghiệpVND,Bắt động sảnVND,Loại trừVND,Hợp nhấtVND,numeric__Sản xuất và kinh doanh thépVND,numeric__Nông nghiệpVND,numeric__Bắt động sảnVND,numeric__Loại trừVND,numeric__Hợp nhấtVND
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,146.318.567.790.514,8.114.479.699.737,1.683.047.128.231,-,156.116.094.618.482,146318567790514.0,8114479699737.0,1683047128231.0,,156116094618482.0
Doanh thu thuần từ bán hàng trong nội bộ Tập đoàn,Doanh thu thuần > Doanh thu thuần từ bán hàng trong nội bộ Tập đoàn,Doanh thu thuần từ bán hàng trong nội bộ Tập đoàn,16.789.158.439.714,1.526.714.999,62.475.837.454,(16.853.160.992.167),-,16789158439714.0,1526714999.0,62475837454.0,-16853160992167.0,
Tổng doanh thu thuần của bộ phận,Doanh thu thuần > Tổng doanh thu thuần của bộ phận,Tổng doanh thu thuần của bộ phận,163.107.726.230.228,8.116.006.414.736,1.745.522.965.685,(16.853.160.992.167),156.116.094.618.482,163107726230228.0,8116006414736.0,1745522965685.0,-16853160992167.0,156116094618482.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Lợi nhuận thuần trước thuế của bộ phận,Kết quả hoạt động kinh doanh > Lợi nhuận thuần trước thuế của bộ phận,Lợi nhuận thuần trước thuế của bộ phận,29.273.907.692.947,1.751.875.676.836,1.536.443.378.808,(14.521.634.770.711),18.040.591.977.880,29273907692947.0,1751875676836.0,1536443378808.0,-14521634770711.0,18040591977880.0
(Chỉ phí) thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh > (Chỉ phí) thuế thu nhập doanh nghiệp,(Chỉ phí) thuế thu nhập doanh nghiệp,(2.107.707.969.364),(151.624.686.067),(307.390.684.433),41.062.933.590,(2.525.660.406.274),-2107707969364.0,-151624686067.0,-307390684433.0,41062933590.0,-2525660406274.0
Lợi nhuận thuần sau thuế,Kết quả hoạt động kinh doanh > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,27.166.199.723.583,1.600.250.990.769,1.229.052.694.375,(14.480.571.837.121),15.514.931.571.606,27166199723583.0,1600250990769.0,1229052694375.0,-14480571837121.0,15514931571606.0
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,
Tổng chi phí đã phát sinh để mua tài sản cố định,Các thông tin bộ phận khác > Tổng chi phí đã phát sinh để mua tài sản cố định,Tổng chi phí đã phát sinh để mua tài sản cố định,23.289.902.903.696,206.792.585.085,172.665.908.941,(32.905.318.680),23.636.456.079.042,23289902903696.0,206792585085.0,172665908941.0,-32905318680.0,23636456079042.0
"Khấu hao tài sản cố định và bắt động sản đầu tư, chi phí phân bổ và phân bổ lợi thế thương mại","Các thông tin bộ phận khác > Khấu hao tài sản cố định và bắt động sản đầu tư, chi phí phân bổ và phân bổ lợi thế thương mại","Khấu hao tài sản cố định và bắt động sản đầu tư, chi phí phân bổ và phân bổ lợi thế thương mại",8.012.781.784.741,406.261.916.077,73.960.588.953,(22.321.029.615),8.470.683.260.156,8012781784741.0,406261916077.0,73960588953.0,-22321029615.0,8470683260156.0
