row_label_raw,row_label_full,STT,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ lợi ích (%) (*),Tỷ lệ phần biểu quyết nằm giữ (%) (*),Hoạt động chính,numeric__Tên công ty con,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích (%) (*),numeric__Tỷ lệ phần biểu quyết nằm giữ (%) (*),numeric__Hoạt động chính
1,1,1,Công ty Cổ phần Gang thép Hòa Phát (i),Hà Nội,"99,9989%","99,9989% Đầu tư, sán xuất, kinh doanh thép xây dựng và các hoạt động phụ trợ.",,,,0.999989,,
2,2,2,Công ty Cổ phần Sản phẩm thép Hòa Phát (ii),Hà Nội,"99,9960%","99,9960% Đầu tư, sán xuất, kinh doanh ống thép, tôn mạ màu và các hoạt động phụ trợ.",,,,0.99996,,
3,3,3,Công ty Cổ phần Phát triển Nông nghiệp Hòa Phát (iii),Hưng Yên,"94,9992%","94,9992% Chăn nuôi gia súc, gia cầm; trồng trọt; các hoạt động dịch vụ trồng trọt, chăn nuôi, sau thu hoạch; sản xuất thức ăn gia súc, gia cầm và thủy sán.",,,,0.9499920000000001,,
4,4,4,Công ty Cổ phần Phát triển Bất động sản Hòa Phát (iv),Hà Nội,"99,9811%","99,9811% Đầu tư, xây dựng, kinh doanh bất động sản và các hoạt động phụ trợ.",,,,0.999811,,
5,5,5,Công ty Cổ phần Điện máy Gia dụng Hòa Phát (v),Hà Nội,"99,9167%","99,9167% Đầu tư, sán xuất, kinh doanh các sản phẩm điện máy - gia dụng.",,,,0.999167,,
6,6,6,Công ty TNHH Thép Hòa Phát Hưng Yên,Hưng Yên,"99,9989%","100% Sản xuất sắt, thép, gang; bán buôn kim loại và quặng kim loại.",,,,0.999989,,
7,7,7,Công ty Cổ phần Thép Hòa Phát Hải Dương,Hải Phòng,"99,9972%","99,9983% Sản xuất thép, gang, khai thác quặng sắt, khai thác và thu gom than non; bán buôn kim loại và quặng kim loại; và sản xuất, mua bán than cốc.",,,,0.9999720000000001,,
8,8,8,Công ty Cổ phần Thép Hòa Phát Dung Quất,Quảng Ngãi,"99,9989%","100% Sản xuất sắt, thép, gang, khai thác quặng sắt; bán buôn kim loại và quặng kim loại; sản xuất mua bán than cốc và các ngành nghề liên quan khác.",,,,0.999989,,
9,9,9,Công ty Cổ phần Đầu tư Khoáng sản An Thông,Tuyên Quang,"99,9589%","99,9600% Thăm dò, khai thác, tuyển luyện, chế biến, xuất nhập khẩu khoáng sản nói chung, trong đó chủ yếu là quặng sắt.",,,,0.999589,,
10,10,10,Công ty Cổ phần Vận tái biển Hòa Phát,Hải Phòng,"99,6297%","99,6308% Vận tải hàng hóa ven biển, đường thủy nội địa và viễn dưỡng.",,,,0.996297,,
11,11,11,Công ty Cổ phần Thép Hòa Phát Phú Yên,Lâm Đồng,"99,9989%",100% Sản xuất và kinh doanh thép,,,,0.999989,,
12,12,12,Công ty Cổ phần Cảng Bãi Gốc Phú Yên,Lâm Đồng,"97,9990%","98% Vận tải hàng hóa ven biển, đường thủy nội địa và viễn dưỡng.",,,,0.9799899999999999,,
13,13,13,Công ty TNHH Ống thép Hòa Phát,Hà Nội,"99,9760%","99,9800% Sản xuất và kinh doanh thương mại ống thép.",,,,0.99976,,
14,14,14,Công ty TNHH Tôn Hòa Phát,Hưng Yên,"99,9960%","100% Sản xuất và kinh doanh các loại tôn mạ kẽm, tôn mạ màu và tôn mạ lạnh.",,,,0.99996,,
15,15,15,Công ty TNHH Chế tạo kim loại Hòa Phát,Hà Nội,"99,9294%","99,9333% Sản xuất thiết bị xây dựng; kinh doanh thương mại máy móc và thiết bị xây dựng và khai thác khoáng sản loại nhỏ và vừa.",,,,0.999294,,
16,16,16,Công ty Cổ phần sán xuất Container Hòa Phát,Hỗ Chí Minh,"99,8246%","99,8286% Sản xuất và kinh doanh Container.",,,,0.9982460000000001,,
17,17,17,Công ty Cổ phần Ván sàn Hòa Phát,Hỗ Chí Minh,"99,8960%","99,9000% Sản xuất gồ dán, gỗ lạng, vấn ép và ván móng khác",,,,0.99896,,
