row_label_raw,row_label_full,col_0,Tổng dư nợ cho vay (cho vay khách hàng và các TCTD khác) triệu đồng,"Tổng tiền gửi huy động (tiền gửi của khách hàng, tiền gửi và vay các TCTD khác) triệu đồng",Các cam kết tin dụng triệu đồng,Công cụ tài chính phải sinh (Tổng giá trị hợp đồng) triệu đồng,Kinh doanh và đầu tư chứng khoán triệu đồng,numeric__Tổng dư nợ cho vay (cho vay khách hàng và các TCTD khác) triệu đồng,"numeric__Tổng tiền gửi huy động (tiền gửi của khách hàng, tiền gửi và vay các TCTD khác) triệu đồng",numeric__Các cam kết tin dụng triệu đồng,numeric__Công cụ tài chính phải sinh (Tổng giá trị hợp đồng) triệu đồng,numeric__Kinh doanh và đầu tư chứng khoán triệu đồng
Trong nước,Trong nước,Trong nước,156.748.607,186.686.489,29.273.603,220.912.684,37.897.490,156748607.0,186686489.0,29273603.0,220912684.0,37897490.0
Nước ngoài,Nước ngoài,Nước ngoài,-,111.269,-,-,-,,111269.0,,,
Tổng,Tổng,Tổng,156.748.607,186.797.758,29.273.603,220.912.684,37.897.490,156748607.0,186797758.0,29273603.0,220912684.0,37897490.0
