row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2023 triệu đồng,Ngày 31 tháng 12 năm 2022 triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2023 triệu đồng,numeric__Ngày 31 tháng 12 năm 2022 triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,939.629,1.393.551,5.0,939629.0,1393551.0
"Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")","TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")","Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")",6,4.588.988,3.689.574,6.0,4588988.0,3689574.0
"Tiền gửi và cho vay các tổ chức tín dụng (""TCTD"") khác","TÀI SẢN > Tiền gửi và cho vay các tổ chức tín dụng (""TCTD"") khác","Tiền gửi và cho vay các tổ chức tín dụng (""TCTD"") khác",7,62.738.494,40.563.400,7.0,62738494.0,40563400.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,,52.973.509,30.683.440,,52973509.0,30683440.0
Cho vay các TCTD khác,TÀI SẢN > Cho vay các TCTD khác,Cho vay các TCTD khác,,9.764.985,9.879.960,,9764985.0,9879960.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,-,21.675,8.0,,21675.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,-,39.287,,,39287.0
Dự phòng rủi ro chứng khoán kinh doanh,TÀI SẢN > Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,,-,(17.612),,,-17612.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,-,446.344,9.0,,446344.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,144.708.789,117.318.787,,144708789.0,117318787.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,10,146.983.622,118.710.746,10.0,146983622.0,118710746.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(2.274.833),(1.391.959),11.0,-2274833.0,-1391959.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,12,-,-,12.0,,
Mua nợ,TÀI SẢN > Mua nợ,Mua nợ,,383,383,,383.0,383.0
Dự phòng rủi ro hoạt động mua nợ,TÀI SẢN > Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,,(383),(383),,-383.0,-383.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,13,37.880.373,31.534.742,13.0,37880373.0,31534742.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,,37.897.490,31.554.087,,37897490.0,31554087.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,,(17.117),(19.345),,-17117.0,-19345.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",14,698.312,698.312,14.0,698312.0,698312.0
Đầu tư vào công ty con,TÀI SẢN > Đầu tư vào công ty con,Đầu tư vào công ty con,,697.076,697.076,,697076.0,697076.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,1.236,1.236,,1236.0,1236.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,,383.687,363.326,,383687.0,363326.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,15,200.775,151.375,15.0,200775.0,151375.0
Nguyên giá,TÀI SẢN > Nguyên giá,Nguyên giá,,643.262,588.280,,643262.0,588280.0
Khẩu hao lũy kế,TÀI SẢN > Khẩu hao lũy kế,Khẩu hao lũy kế,,(442.487),(436.905),,-442487.0,-436905.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,16,182.912,211.951,16.0,182912.0,211951.0
Nguyên giá,TÀI SẢN > Nguyên giá,Nguyên giá,,611.251,598.485,,611251.0,598485.0
Hao mòn lũy kế,TÀI SẢN > Hao mòn lũy kế,Hao mòn lũy kế,,(428.339),(386.534),,-428339.0,-386534.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,17,15.181.808,16.770.697,17.0,15181808.0,16770697.0
