row_label_raw,row_label_full,"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này_1","Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này_2","numeric__Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này_1","numeric__Thành viên Hội đồng Quản trị, Ban Điều hành, Ban kiểm soát và những người có liên quan của các thành viên này_2"
Tiền gửi,Tiền gửi,Tiền gửi,(637.558),(91.139),-637558.0,-91139.0
Tiền vay,Tiền vay,Tiền vay,59.417,53.811,59417.0,53811.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,282,202,282.0,202.0
Các khoản phải trả và các khoản chờ thanh toán khác,Các khoản phải trả và các khoản chờ thanh toán khác,Các khoản phải trả và các khoản chờ thanh toán khác,(4.672),(897),-4672.0,-897.0
