row_label_raw,row_label_full,CTCP ROX Asset – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Asset – Bên liên quan của thành viên Hội đồng Quản trị_1,CTCP ROX Asset – Bên liên quan của thành viên Hội đồng Quản trị_2,numeric__CTCP ROX Asset – Bên liên quan của thành viên Hội đồng Quản trị_1,numeric__CTCP ROX Asset – Bên liên quan của thành viên Hội đồng Quản trị_2
Tiền gửi,Tiền gửi,Tiền gửi,(336),(1.689),-336.0,-1689.0
Tiền vay,Tiền vay,Tiền vay,9,-,9.0,
