row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12năm 2023triệu đồng,Ngày 31 tháng 12năm 2022triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12năm 2023triệu đồng,numeric__Ngày 31 tháng 12năm 2022triệu đồng
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Chính phủ và NHNN,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,18,1.012.533,1.014.560,18.0,1012533.0,1014560.0
"Tiền gửi và vay Chính phủ, NHNN","NỘ PHẢI TRẢ > Tiền gửi và vay Chính phủ, NHNN","Tiền gửi và vay Chính phủ, NHNN",,1.012.533,1.014.560,,1012533.0,1014560.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,19,85.521.929,50.298.619,19.0,85521929.0,50298619.0
Tiền gửi của các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,,54.452.727,29.264.324,,54452727.0,29264324.0
Vay các TCTD khác,NỘ PHẢI TRẢ > Vay các TCTD khác,Vay các TCTD khác,,31.069.202,21.034.295,,31069202.0,21034295.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,20,132.345.031,117.119.779,20.0,132345031.0,117119779.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRẢ > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,9,263.356,-,9.0,263356.0,
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,21,8.991.415,11.599.514,21.0,8991415.0,11599514.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,22,7.620.199,6.054.469,22.0,7620199.0,6054469.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",22.1,3.813.192,2.251.981,221.0,3813192.0,2251981.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,22.2,3.807.007,3.802.488,222.0,3807007.0,3802488.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,235.754.463,186.086.941,,235754463.0,186086941.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn của TCTD,VỐN CHỦ SỞ HỮU > Vốn của TCTD,Vốn của TCTD,,20.034.068,19.891.568,,20034068.0,19891568.0
- Vốn điều lệ,VỐN CHỦ SỞ HỮU > - Vốn điều lệ,- Vốn điều lệ,,20.000.000,19.857.500,,20000000.0,19857500.0
- Vốn đầu tư xây dựng cơ bản,VỐN CHỦ SỞ HỮU > - Vốn đầu tư xây dựng cơ bản,- Vốn đầu tư xây dựng cơ bản,,608,608,,608.0,608.0
- Thặng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > - Thặng dư vốn cổ phần,- Thặng dư vốn cổ phần,,33.460,33.460,,33460.0,33460.0
Quỹ của TCTD,VỐN CHỦ SỞ HỮU > Quỹ của TCTD,Quỹ của TCTD,,2.587.378,1.894.182,,2587378.0,1894182.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,8.744.171,4.927.717,,8744171.0,4927717.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,24,31.365.617,26.713.467,24.0,31365617.0,26713467.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,267.120.080,212.800.408,,267120080.0,212800408.0
