row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2023Phải thu/(Phải trả)triệu đồng,Ngày 31 tháng 12năm 2022Phải thu/(Phải trả)triệu đồng,numeric__Ngày 31 tháng 12năm 2023Phải thu/(Phải trả)triệu đồng,numeric__Ngày 31 tháng 12năm 2022Phải thu/(Phải trả)triệu đồng
Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con,,
Góp vốn,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con > Góp vốn,Góp vốn,697.076,697.076,697076.0,697076.0
Tiền gửi thanh toán,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con > Tiền gửi thanh toán,Tiền gửi thanh toán,(218.415),(34.459),-218415.0,-34459.0
Tiền gửi của MSB tại TNEX FINANCE,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con > Tiền gửi của MSB tại TNEX FINANCE,Tiền gửi của MSB tại TNEX FINANCE,1.838.800,1.319.800,1838800.0,1319800.0
Phải thu lãi tiền gửi,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con > Phải thu lãi tiền gửi,Phải thu lãi tiền gửi,709,3.459,709.0,3459.0
Hoạt động mua nợ,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con > Hoạt động mua nợ,Hoạt động mua nợ,383,383,383.0,383.0
Các khoản phải thu khác,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con > Các khoản phải thu khác,Các khoản phải thu khác,61,61,61.0,61.0
Các khoản lãi phải trả khác,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con > Các khoản lãi phải trả khác,Các khoản lãi phải trả khác,(58),-,-58.0,
Các khoản phải trả khác,Công ty Tài chính TNHH MTV TNEX (“TNEX FINANCE”) – Công ty con > Các khoản phải trả khác,Các khoản phải trả khác,(93.871),(60.698),-93871.0,-60698.0
Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,,
Tiền gửi,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn > Tiền gửi,Tiền gửi,(1.558.638),(2.489.341),-1558638.0,-2489341.0
Các khoản lãi phải trả,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn > Các khoản lãi phải trả,Các khoản lãi phải trả,(21.864),(45.698),-21864.0,-45698.0
CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,,
Tiền gửi,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi,Tiền gửi,(3.588),(1.041),-3588.0,-1041.0
Tiền vay,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị > Tiền vay,Tiền vay,48,44,48.0,44.0
CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,,
Tiền gửi,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi,Tiền gửi,(381),(576),-381.0,-576.0
Tiền vay,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị > Tiền vay,Tiền vay,13,-,13.0,
CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị,,
Tiền gửi,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị > Tiền gửi,Tiền gửi,(2.086),-,-2086.0,
Tiền vay,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị > Tiền vay,Tiền vay,15,-,15.0,
