row_label_raw,row_label_full,CTCP thương mại dịch vụ TNS Holdings – Bên liên quan của thành viên Hội đồng Quản trị,CTCP thương mại dịch vụ TNS Holdings – Bên liên quan của thành viên Hội đồng Quản trị_1,numeric__CTCP thương mại dịch vụ TNS Holdings – Bên liên quan của thành viên Hội đồng Quản trị_1
Tiền gửi,Tiền gửi,Tiền gửi,(223.735),-223735.0
Các khoản lãi phải trả,Các khoản lãi phải trả,Các khoản lãi phải trả,(42),-42.0
