row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcriệu đồng","Máy móc,thiết bịtriệu đồng",Phương tiệnvận tảitriệu đồng,Thiết bịdụng cụ quản lýtriệu đồng,TSCĐhửu hình kháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúcriệu đồng","numeric__Máy móc,thiết bịtriệu đồng",numeric__Phương tiệnvận tảitriệu đồng,numeric__Thiết bịdụng cụ quản lýtriệu đồng,numeric__TSCĐhửu hình kháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,24.498,384.998,91.920,86.638,226,588.280,24498.0,384998.0,91920.0,86638.0,226.0,588280.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,94.948,-,6.938,5.410,107.296,,94948.0,,6938.0,5410.0,107296.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,-,(34.098),(748),(17.424),(44),(52.314),,-34098.0,-748.0,-17424.0,-44.0,-52314.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,24.498,445.848,91.172,76.152,5.592,643.262,24498.0,445848.0,91172.0,76152.0,5592.0,643262.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,,,,,,
Số dư đầu năm,Giá trị khấu hao luỹ kế > Số dư đầu năm,Số dư đầu năm,11.209,272.655,75.448,77.397,196,436.905,11209.0,272655.0,75448.0,77397.0,196.0,436905.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,398,47.784,2.770,6.076,931,57.959,398.0,47784.0,2770.0,6076.0,931.0,57959.0
Thanh lý trong năm,Giá trị khấu hao luỹ kế > Thanh lý trong năm,Thanh lý trong năm,-,(34.091),(748),(17.389),(44),(52.272),,-34091.0,-748.0,-17389.0,-44.0,-52272.0
Giảm khác trong năm,Giá trị khấu hao luỹ kế > Giảm khác trong năm,Giảm khác trong năm,-,(105),-,-,-,(105),,-105.0,,,,-105.0
Số dư cuối năm,Giá trị khấu hao luỹ kế > Số dư cuối năm,Số dư cuối năm,11.607,286.243,77.470,66.084,1.083,442.487,11607.0,286243.0,77470.0,66084.0,1083.0,442487.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,13.289,112.343,16.472,9.241,30,151.375,13289.0,112343.0,16472.0,9241.0,30.0,151375.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,12.891,159.605,13.702,10.068,4.509,200.775,12891.0,159605.0,13702.0,10068.0,4509.0,200775.0
