row_label_raw,row_label_full,col_0,Chưa bị giả giá triệu đồng,Bị giảm giá nhưng không có dự phòng triệu đồng,Bị giảm giá và có dự phòng triệu đồng,Tổng công triệu đồng,numeric__Chưa bị giả giá triệu đồng,numeric__Bị giảm giá nhưng không có dự phòng triệu đồng,numeric__Bị giảm giá và có dự phòng triệu đồng,numeric__Tổng công triệu đồng
Tiền gửi có kỳ hạn tại và cho vay các TCTD khác,Tiền gửi có kỳ hạn tại và cho vay các TCTD khác,Tiền gửi có kỳ hạn tại và cho vay các TCTD khác,48.924.559,-,-,48.924.559,48924559.0,,,48924559.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,140.306.915,1.562.043,5.114.664,146.983.622,140306915.0,1562043.0,5114664.0,146983622.0
Hoạt động mua nợ,Hoạt động mua nợ,Hoạt động mua nợ,-,-,383,383,,,383.0,383.0
"Chứng khoán nợ do các TCTD, TCKT trong nước phát hành","Chứng khoán nợ do các TCTD, TCKT trong nước phát hành","Chứng khoán nợ do các TCTD, TCKT trong nước phát hành",14.921.000,376.000,28.385,15.325.385,14921000.0,376000.0,28385.0,15325385.0
Tài sản có rủi ro tín dụng khác,Tài sản có rủi ro tín dụng khác,Tài sản có rủi ro tín dụng khác,-,4.001.159,-,4.001.159,,4001159.0,,4001159.0
Tổng cộng,Tổng cộng,Tổng cộng,204.152.474,5.939.202,5.143.432,215.235.108,204152474.0,5939202.0,5143432.0,215235108.0
