row_label_raw,row_label_full,col_0,Năm 2023 triệu đồng,Năm 2022 triệu đồng,numeric__Năm 2023 triệu đồng,numeric__Năm 2022 triệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,586.742,734.743,586742.0,734743.0
Thu nhập từ nợ đã xử lý rủi ro,Thu nhập từ nợ đã xử lý rủi ro,Thu nhập từ nợ đã xử lý rủi ro,166.207,443.467,166207.0,443467.0
Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,177,1.039,177.0,1039.0
Thu từ chuyển nhượng thanh lý tài sản,Thu từ chuyển nhượng thanh lý tài sản,Thu từ chuyển nhượng thanh lý tài sản,469,1.762,469.0,1762.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,419.889,288.475,419889.0,288475.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(709.644),(1.183.932),-709644.0,-1183932.0
Chi về nghiệp vụ mua bán nợ,Chi về nghiệp vụ mua bán nợ,Chi về nghiệp vụ mua bán nợ,-,(2),,-2.0
Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,(64),(24),-64.0,-24.0
Chi phí khác,Chi phí khác,Chi phí khác,(709.580),(1.183.906),-709580.0,-1183906.0
Lỗ thuần từ hoạt động khác,Lỗ thuần từ hoạt động khác,Lỗ thuần từ hoạt động khác,(122.902),(449.189),-122902.0,-449189.0
