row_label_raw,row_label_full,Nội dung,Mệnh giá,Chiết khấu,Phụ trội,Giá trị thuần,numeric__Mệnh giá,numeric__Chiết khấu,numeric__Phụ trội,numeric__Giá trị thuần
Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,,,,
- Kỳ hạn 5 năm trở lên,Trái phiếu > - Kỳ hạn 5 năm trở lên,- Kỳ hạn 5 năm trở lên,1.000.000.000.000,-,-,1.000.000.000.000,1000000000000.0,,,1000000000000.0
,,,1.000.000.000.000,-,-,1.000.000.000.000,1000000000000.0,,,1000000000000.0
