row_label_raw,row_label_full,Tiền gửi không kỳ hạn,2.198.962.745.317,1.182.244.913.487,numeric__2.198.962.745.317,numeric__1.182.244.913.487
Bằng VND,Bằng VND,Bằng VND,2.093.514.929.640,1.088.063.584.807,2093514929640.0,1088063584807.0
Bằng ngoại hối,Bằng ngoại hối,Bằng ngoại hối,105.447.815.677,94.181.328.680,105447815677.0,94181328680.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,9.690.000.000.000,17.550.000.000.000,9690000000000.0,17550000000000.0
Bằng VND,Bằng VND,Bằng VND,9.690.000.000.000,17.550.000.000.000,9690000000000.0,17550000000000.0
Cộng,Cộng,Cộng,11.888.962.745.317,18.732.244.913.487,11888962745317.0,18732244913487.0
