row_label_raw,row_label_full,26.1 Chi phí thuế thu nhập doanh nghiệp hiện hành:,26.1 Chi phí thuế thu nhập doanh nghiệp hiện hành:_1,26.1 Chi phí thuế thu nhập doanh nghiệp hiện hành:_2,numeric__26.1 Chi phí thuế thu nhập doanh nghiệp hiện hành:_1,numeric__26.1 Chi phí thuế thu nhập doanh nghiệp hiện hành:_2
,,,Năm 2024,Năm 2023,,
1. Lợi nhuận trước thuế TNDN,1. Lợi nhuận trước thuế TNDN,1. Lợi nhuận trước thuế TNDN,1.085.661.583.972,916.913.359.166,1085661583972.0,916913359166.0
2. Chi phí thuế thu nhập doanh nghiệp hiện hành,2. Chi phí thuế thu nhập doanh nghiệp hiện hành,2. Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,
- Ngân hàng TMCP Việt Á,2. Chi phí thuế thu nhập doanh nghiệp hiện hành > - Ngân hàng TMCP Việt Á,- Ngân hàng TMCP Việt Á,210.510.889.038,177.250.998.033,210510889038.0,177250998033.0
- Công ty TNHH MTV Quảng lý nợ và Khai thác tài sản - Ngân hàng TMCP Việt Á (AMC),2. Chi phí thuế thu nhập doanh nghiệp hiện hành > - Công ty TNHH MTV Quảng lý nợ và Khai thác tài sản - Ngân hàng TMCP Việt Á (AMC),- Công ty TNHH MTV Quảng lý nợ và Khai thác tài sản - Ngân hàng TMCP Việt Á (AMC),8.125.793.075,1.276.703.300,8125793075.0,1276703300.0
3. Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,2. Chi phí thuế thu nhập doanh nghiệp hiện hành > 3. Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,3. Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,218.636.682.113,178.527.701.333,218636682113.0,178527701333.0
Thuế TNDN phải nộp đầu năm,2. Chi phí thuế thu nhập doanh nghiệp hiện hành > Thuế TNDN phải nộp đầu năm,Thuế TNDN phải nộp đầu năm,64.212.795.468,63.142.489.907,64212795468.0,63142489907.0
Điều chỉnh chênh lệch thuế TNDN của các kỳ trước,2. Chi phí thuế thu nhập doanh nghiệp hiện hành > Điều chỉnh chênh lệch thuế TNDN của các kỳ trước,Điều chỉnh chênh lệch thuế TNDN của các kỳ trước,5.870.748.629,1.931.229.096,5870748629.0,1931229096.0
Thuế TNDN đã nộp trong năm,2. Chi phí thuế thu nhập doanh nghiệp hiện hành > Thuế TNDN đã nộp trong năm,Thuế TNDN đã nộp trong năm,(205.175.940.297),(179.388.624.868),-205175940297.0,-179388624868.0
4. Thuế thu nhập doanh nghiệp còn phải nộp cuối năm,2. Chi phí thuế thu nhập doanh nghiệp hiện hành > 4. Thuế thu nhập doanh nghiệp còn phải nộp cuối năm,4. Thuế thu nhập doanh nghiệp còn phải nộp cuối năm,83.544.285.913,64.212.795.468,83544285913.0,64212795468.0
26.2. Chi phí thuế thu nhập doanh nghiệp hoãn lại,26.2. Chi phí thuế thu nhập doanh nghiệp hoãn lại,26.2. Chi phí thuế thu nhập doanh nghiệp hoãn lại,Năm 2024,Năm 2023,,
Thu nhập thuế TNDN hoãn lại phát sinh từ việc loại trừ hoàn nhập khoản dự phòng đầu tư vào công ty con,26.2. Chi phí thuế thu nhập doanh nghiệp hoãn lại > Thu nhập thuế TNDN hoãn lại phát sinh từ việc loại trừ hoàn nhập khoản dự phòng đầu tư vào công ty con,Thu nhập thuế TNDN hoãn lại phát sinh từ việc loại trừ hoàn nhập khoản dự phòng đầu tư vào công ty con,-,5.707.994.041,,5707994041.0
- Tổng chi phí thuế thu nhập doanh nghiệp hoãn lại,26.2. Chi phí thuế thu nhập doanh nghiệp hoãn lại > - Tổng chi phí thuế thu nhập doanh nghiệp hoãn lại,- Tổng chi phí thuế thu nhập doanh nghiệp hoãn lại,-,5.707.994.041,,5707994041.0
