row_label_raw,row_label_full,Tài sân cố định vô hình- Tăng giảm tài sân cố định vô hình trong năm: > Khoản mục,Tài sân cố định vô hình- Tăng giảm tài sân cố định vô hình trong năm: > Quyền sử dụng đất,Tài sân cố định vô hình- Tăng giảm tài sân cố định vô hình trong năm: > Phần mềm máy vi tính,Tài sân cố định vô hình- Tăng giảm tài sân cố định vô hình trong năm: > TSCĐ vô hình khác,Tài sân cố định vô hình- Tăng giảm tài sân cố định vô hình trong năm: > Tổng cộng,numeric__Tài sân cố định vô hình- Tăng giảm tài sân cố định vô hình trong năm: > Quyền sử dụng đất,numeric__Tài sân cố định vô hình- Tăng giảm tài sân cố định vô hình trong năm: > Phần mềm máy vi tính,numeric__Tài sân cố định vô hình- Tăng giảm tài sân cố định vô hình trong năm: > TSCĐ vô hình khác,numeric__Tài sân cố định vô hình- Tăng giảm tài sân cố định vô hình trong năm: > Tổng cộng
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,,,,,
Số dư tại ngày 01/01/2024,Nguyên giá TSCĐ vô hình > Số dư tại ngày 01/01/2024,Số dư tại ngày 01/01/2024,112.001.521.341,131.215.793.908,19.343.365.216,262.560.680.465,112001521341.0,131215793908.0,19343365216.0,262560680465.0
- Mua trong kỳ,Nguyên giá TSCĐ vô hình > - Mua trong kỳ,- Mua trong kỳ,-,2.934.432.000,3.069.588.704,6.004.020.704,,2934432000.0,3069588704.0,6004020704.0
Số dư tại ngày 31/12/2024,Nguyên giá TSCĐ vô hình > Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,112.001.521.341,134.150.225.908,22.412.953.920,268.564.701.169,112001521341.0,134150225908.0,22412953920.0,268564701169.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,
Số dư tại ngày 01/01/2024,Giá trị hao mòn lũy kế > Số dư tại ngày 01/01/2024,Số dư tại ngày 01/01/2024,-,83.891.448.894,12.320.562.335,96.212.011.229,,83891448894.0,12320562335.0,96212011229.0
- Khấu hao trong kỳ,Giá trị hao mòn lũy kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,-,13.379.248.646,2.544.912.285,15.924.160.931,,13379248646.0,2544912285.0,15924160931.0
Số dư tại ngày 31/12/2024,Giá trị hao mòn lũy kế > Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,-,97.270.697.540,14.865.474.620,112.136.172.160,,97270697540.0,14865474620.0,112136172160.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,,,,,
Số dư tại ngày 01/01/2024,Giá trị còn lại của TSCĐ vô hình > Số dư tại ngày 01/01/2024,Số dư tại ngày 01/01/2024,112.001.521.341,47.324.345.014,7.022.802.881,166.348.669.236,112001521341.0,47324345014.0,7022802881.0,166348669236.0
Số dư tại ngày 31/12/2024,Giá trị còn lại của TSCĐ vô hình > Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,112.001.521.341,36.879.528.368,7.547.479.300,156.428.529.009,112001521341.0,36879528368.0,7547479300.0,156428529009.0
- Các thông tin khác về TSCĐ vô hình:,- Các thông tin khác về TSCĐ vô hình:,- Các thông tin khác về TSCĐ vô hình:,- Các thông tin khác về TSCĐ vô hình:,- Các thông tin khác về TSCĐ vô hình:,- Các thông tin khác về TSCĐ vô hình:,- Các thông tin khác về TSCĐ vô hình:,,,,
Khoản mục,Khoản mục,Khoản mục,,,31/12/2024,01/01/2024,,,,
Nguyên giá của TSCĐ vô hình đã khấu hao hết nhưng vẫn còn sử dụng,Khoản mục > Nguyên giá của TSCĐ vô hình đã khấu hao hết nhưng vẫn còn sử dụng,Nguyên giá của TSCĐ vô hình đã khấu hao hết nhưng vẫn còn sử dụng,,,79.406.748.392,78.840.348.392,,,79406748392.0,78840348392.0
