row_label_raw,row_label_full,Khoản mục,"Nhà cửa, vật kiến trúc",Máy móc thiết bị,Phương tiện vận tải truyền dẫn,Tài sản cố định khác,Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiện vận tải truyền dẫn,numeric__Tài sản cố định khác,numeric__Tổng cộng
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,
Số dư tại ngày 01/01/2024,Nguyên giá TSCĐ hữu hình > Số dư tại ngày 01/01/2024,Số dư tại ngày 01/01/2024,97.230.040.905,120.078.692.156,79.429.456.724,10.663.007.557,307.401.197.342,97230040905.0,120078692156.0,79429456724.0,10663007557.0,307401197342.0
- Mua trong năm,Nguyên giá TSCĐ hữu hình > - Mua trong năm,- Mua trong năm,-,6.111.619.745,27.393.130.270,231.758.000,33.736.508.015,,6111619745.0,27393130270.0,231758000.0,33736508015.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(8.725.034.867),(10.361.589.567),(2.925.665.218),(22.012.289.652),,-8725034867.0,-10361589567.0,-2925665218.0,-22012289652.0
Số dư tại ngày 31/12/2024,Nguyên giá TSCĐ hữu hình > Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,97.230.040.905,117.465.277.034,96.460.997.427,7.969.100.339,319.125.415.705,97230040905.0,117465277034.0,96460997427.0,7969100339.0,319125415705.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư tại ngày 01/01/2024,Giá trị hao mòn lũy kế > Số dư tại ngày 01/01/2024,Số dư tại ngày 01/01/2024,54.410.527.704,94.861.546.261,72.775.637.397,7.781.651.715,229.829.363.077,54410527704.0,94861546261.0,72775637397.0,7781651715.0,229829363077.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,5.233.594.520,8.088.311.496,4.908.649.924,23.452.512,18.254.008.452,5233594520.0,8088311496.0,4908649924.0,23452512.0,18254008452.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(6.094.510.712),(2.355.618.428),-,(8.450.129.140),,-6094510712.0,-2355618428.0,,-8450129140.0
Số dư tại ngày 31/12/2024,Giá trị hao mòn lũy kế > Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,59.644.122.224,96.855.347.045,75.328.668.893,7.805.104.227,239.633.242.389,59644122224.0,96855347045.0,75328668893.0,7805104227.0,239633242389.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,
Số dư tại ngày 01/01/2024,Giá trị còn lại của TSCĐ hữu hình > Số dư tại ngày 01/01/2024,Số dư tại ngày 01/01/2024,42.819.513.201,25.217.145.895,6.653.819.327,2.881.355.842,77.571.834.265,42819513201.0,25217145895.0,6653819327.0,2881355842.0,77571834265.0
Số dư tại ngày 31/12/2024,Giá trị còn lại của TSCĐ hữu hình > Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,37.585.918.681,20.609.929.989,21.132.328.534,163.996.112,79.492.173.316,37585918681.0,20609929989.0,21132328534.0,163996112.0,79492173316.0
- Các thông tin khác về tài sản cố định hữu hình:,- Các thông tin khác về tài sản cố định hữu hình:,- Các thông tin khác về tài sản cố định hữu hình:,- Các thông tin khác về tài sản cố định hữu hình:,- Các thông tin khác về tài sản cố định hữu hình:,- Các thông tin khác về tài sản cố định hữu hình:,31/12/2024,01/01/2024,,,,,
* Nguyên giá tài sản cố định đã khấu hao hết nhưng vẫn còn sử dụng,- Các thông tin khác về tài sản cố định hữu hình: > * Nguyên giá tài sản cố định đã khấu hao hết nhưng vẫn còn sử dụng,* Nguyên giá tài sản cố định đã khấu hao hết nhưng vẫn còn sử dụng,* Nguyên giá tài sản cố định đã khấu hao hết nhưng vẫn còn sử dụng,* Nguyên giá tài sản cố định đã khấu hao hết nhưng vẫn còn sử dụng,* Nguyên giá tài sản cố định đã khấu hao hết nhưng vẫn còn sử dụng,161.392.111.735,164.419.921.744,,,,161392111735.0,164419921744.0
