row_label_raw,row_label_full,"31.1 Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu, tái chiết khấu",Giá trị đến 31/12/2024,Giá trị đến 01/01/2024,numeric__Giá trị đến 31/12/2024,numeric__Giá trị đến 01/01/2024
"a. Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu của khách hàng","a. Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu của khách hàng","a. Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu của khách hàng",,,,
Bất động sản,"a. Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu của khách hàng > Bất động sản",Bất động sản,180.934.439.190.988,189.349.235.933.489,180934439190988.0,189349235933489.0
Động sản,"a. Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu của khách hàng > Động sản",Động sản,381.874.822.409,402.868.106.758,381874822409.0,402868106758.0
Chứng từ cố giá,"a. Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu của khách hàng > Chứng từ cố giá",Chứng từ cố giá,9.777.602.996.376,9.379.675.633.202,9777602996376.0,9379675633202.0
Tài sản khác,"a. Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu của khách hàng > Tài sản khác",Tài sản khác,12.981.812.204.966,13.140.995.283.165,12981812204966.0,13140995283165.0
Tổng,"a. Tài sản, GTCG nhận thế chấp, cảm cố và chiết khấu của khách hàng > Tổng",Tổng,204.075.729.214.739,212.272.774.956.614,204075729214739.0,212272774956614.0
