row_label_raw,row_label_full,Chỉ tiêu,VND,USD được quy đổi,EUR được quy đổi,Giá trị vàng tiền tệ được quy đổi,Các ngoại tệ khác được quy đổi,Tổng,numeric__VND,numeric__USD được quy đổi,numeric__EUR được quy đổi,numeric__Giá trị vàng tiền tệ được quy đổi,numeric__Các ngoại tệ khác được quy đổi,numeric__Tổng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",286.301,43.715,1.079,171,1.416,332.682,286301.0,43715.0,1079.0,171.0,1416.0,332682.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,1.306.318,1.625,-,-,-,1.307.943,1306318.0,1625.0,,,,1307943.0
"Tiền, vàng gửi tại và cho vay các TCTD khác (*)","Tài sản > Tiền, vàng gửi tại và cho vay các TCTD khác (*)","Tiền, vàng gửi tại và cho vay các TCTD khác (*)",17.583.515,85.497,3.029,-,16.922,17.688.963,17583515.0,85497.0,3029.0,,16922.0,17688963.0
Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,-,-,-,,,,,,
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Chứng khoán kinh doanh (*) > Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,127.155,-,-,-,127.155,,127155.0,,,,127155.0
Cho vay khách hàng (*),Chứng khoán kinh doanh (*) > Cho vay khách hàng (*),Cho vay khách hàng (*),79.883.501,27.868,-,4.167,-,79.915.536,79883501.0,27868.0,,4167.0,,79915536.0
Chứng khoán đầu tư (*),Chứng khoán kinh doanh (*) > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),14.146.615,-,-,-,-,14.146.615,14146615.0,,,,,14146615.0
"Góp vốn, đầu tư dài hạn (*)","Chứng khoán kinh doanh (*) > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",82.610,-,-,-,-,82.610,82610.0,,,,,82610.0
Tài sản cố định và Bất động sản đầu tư,Chứng khoán kinh doanh (*) > Tài sản cố định và Bất động sản đầu tư,Tài sản cố định và Bất động sản đầu tư,235.921,-,-,-,-,235.921,235921.0,,,,,235921.0
Tài sản Có khác (*),Chứng khoán kinh doanh (*) > Tài sản Có khác (*),Tài sản Có khác (*),7.244.782,17.541,-,-,-,7.262.323,7244782.0,17541.0,,,,7262323.0
Tổng Tài sản,Chứng khoán kinh doanh (*) > Tổng Tài sản,Tổng Tài sản,120.769.563,303.401,4.108,4.338,18.338,121.099.748,120769563.0,303401.0,4108.0,4338.0,18338.0,121099748.0
Nợ phải trả và Vốn chủ sở hữu,Nợ phải trả và Vốn chủ sở hữu,Nợ phải trả và Vốn chủ sở hữu,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả và Vốn chủ sở hữu > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,2.089.135,-,-,-,-,2.089.135,2089135.0,,,,,2089135.0
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả và Vốn chủ sở hữu > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,13.978.355,127.241,-,-,-,14.105.596,13978355.0,127241.0,,,,14105596.0
Tiền gửi của khách hàng,Nợ phải trả và Vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,90.122.824,162.556,104,-,3.937,90.289.421,90122824.0,162556.0,104.0,,3937.0,90289421.0
