row_label_raw,row_label_full,col_0,Miền Bắc,Miền Trung,Miền Nam,Loại trừ,Tổng cộng,numeric__Miền Bắc,numeric__Miền Trung,numeric__Miền Nam,numeric__Loại trừ,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
I. Tài sản,I. Tài sản,I. Tài sản,89.983.294,2.959.520,26.889.224,-,119.832.037,89983294.0,2959520.0,26889224.0,,119832037.0
1. Tiền mặt,1. Tiền mặt,1. Tiền mặt,100.147,94.333,138.203,-,332.682,100147.0,94333.0,138203.0,,332682.0
2. Tài sản cố định,2. Tài sản cố định,2. Tài sản cố định,123.009,37.364,75.548,-,235.921,123009.0,37364.0,75548.0,,235921.0
3. Tài sản khác,3. Tài sản khác,3. Tài sản khác,89.760.138,2.827.823,26.675.473,-,119.263.434,89760138.0,2827823.0,26675473.0,,119263434.0
II. Nợ phải trả,II. Nợ phải trả,II. Nợ phải trả,50.674.420,22.263.243,38.037.696,-,110.975.359,50674420.0,22263243.0,38037696.0,,110975359.0
1. Các khoản nợ Chính phủ và Ngân hàng Nhà nước,1. Các khoản nợ Chính phủ và Ngân hàng Nhà nước,1. Các khoản nợ Chính phủ và Ngân hàng Nhà nước,2.089.135,-,-,-,2.089.135,2089135.0,,,,2089135.0
2. Nợ phải trả khách hàng bên ngoài,2. Nợ phải trả khách hàng bên ngoài,2. Nợ phải trả khách hàng bên ngoài,47.928.675,22.261.107,37.985.669,-,108.175.451,47928675.0,22261107.0,37985669.0,,108175451.0
3. Nợ phải trả nội bộ,3. Nợ phải trả nội bộ,3. Nợ phải trả nội bộ,1.463,-,-,-,1.463,1463.0,,,,1463.0
4. Nợ phải trả khác,4. Nợ phải trả khác,4. Nợ phải trả khác,655.147,2.136,52.027,-,709.310,655147.0,2136.0,52027.0,,709310.0
