row_label_raw,row_label_full,a. Chứng khoán Nợ,14.096.335.329.826,7.377.840.509.237,numeric__14.096.335.329.826,numeric__7.377.840.509.237
"- Chứng khoán Chính phủ, chính quyền địa phương","- Chứng khoán Chính phủ, chính quyền địa phương","- Chứng khoán Chính phủ, chính quyền địa phương",5.403.570.279.716,5.597.766.687.571,5403570279716.0,5597766687571.0
- Chứng khoán Nợ do các TCTD khác trong nước phát hành,- Chứng khoán Nợ do các TCTD khác trong nước phát hành,- Chứng khoán Nợ do các TCTD khác trong nước phát hành,8.692.765.050.110,1.649.173.821.666,8692765050110.0,1649173821666.0
- Chứng khoán Nợ do các TCKT trong nước phát hành,- Chứng khoán Nợ do các TCKT trong nước phát hành,- Chứng khoán Nợ do các TCKT trong nước phát hành,-,130.900.000.000,,130900000000.0
b. Chứng khoán Vốn,b. Chứng khoán Vốn,b. Chứng khoán Vốn,50.279.638.188,53.570.961.726,50279638188.0,53570961726.0
- Chứng khoán Vốn do các TCKT trong nước phát hành,- Chứng khoán Vốn do các TCKT trong nước phát hành,- Chứng khoán Vốn do các TCKT trong nước phát hành,50.279.638.188,53.570.961.726,50279638188.0,53570961726.0
c. Dự phòng rủi ro chứng khoán sẵn sàng đề bán,c. Dự phòng rủi ro chứng khoán sẵn sàng đề bán,c. Dự phòng rủi ro chứng khoán sẵn sàng đề bán,(14.072.900.000),(15.095.509.538),-14072900000.0,-15095509538.0
Trong đó: - Dự phòng giảm giá,Trong đó: - Dự phòng giảm giá,Trong đó: - Dự phòng giảm giá,(14.072.900.000),(14.113.759.538),-14072900000.0,-14113759538.0
- Dự phòng chung,- Dự phòng chung,- Dự phòng chung,-,(981.750.000),,-981750000.0
- Dự phòng cụ thể,- Dự phòng cụ thể,- Dự phòng cụ thể,-,-,,
Tổng cộng,- Dự phòng cụ thể > Tổng cộng,Tổng cộng,14.132.542.068.014,7.416.315.961.425,14132542068014.0,7416315961425.0
