row_label_raw,row_label_full,Chỉ tiêu,Quá hạn,Không chịu lãi,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3 đến 6 tháng,Từ trên 6 đến 12 tháng,Từ trên 1 đến 5 năm,Trên 5 năm,Tổng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ trên 3 đến 6 tháng,numeric__Từ trên 6 đến 12 tháng,numeric__Từ trên 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng
"I.Tiền mặt, vàng bạc, đá quý","I.Tiền mặt, vàng bạc, đá quý","I.Tiền mặt, vàng bạc, đá quý",-,332.682,-,-,-,-,-,-,332.682,,332682.0,,,,,,,332682.0
II.Tiền gửi tại Ngân hàng Nhà nước,II.Tiền gửi tại Ngân hàng Nhà nước,II.Tiền gửi tại Ngân hàng Nhà nước,-,-,1.307.943,-,-,-,-,-,1.307.943,,,1307943.0,,,,,,1307943.0
"III.Tiền, vàng gửi tại và cho vay các TCTD khác (*)","III.Tiền, vàng gửi tại và cho vay các TCTD khác (*)","III.Tiền, vàng gửi tại và cho vay các TCTD khác (*)",-,-,12.298.963,90.000,2.000.000,3.300.000,-,-,17.688.963,,,12298963.0,90000.0,2000000.0,3300000.0,,,17688963.0
IV.Chứng khoán kinh doanh (*),IV.Chứng khoán kinh doanh (*),IV.Chứng khoán kinh doanh (*),-,-,-,-,-,-,-,-,-,,,,,,,,,
V.Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),V.Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),V.Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,-,-,-,-,-,-,-,,,,,,,,,
VI.Cho vay khách hàng (*),V.Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > VI.Cho vay khách hàng (*),VI.Cho vay khách hàng (*),1.424.730,-,24.973.978,18.826.913,5.239.819,18.756.976,5.747.838,4.945.284,79.915.538,1424730.0,,24973978.0,18826913.0,5239819.0,18756976.0,5747838.0,4945284.0,79915538.0
VII.Chứng khoán đầu tư (*),V.Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > VII.Chứng khoán đầu tư (*),VII.Chứng khoán đầu tư (*),-,50.280,-,-,100.000,8.392.927,199.838,5.403.570,14.146.615,,50280.0,,,100000.0,8392927.0,199838.0,5403570.0,14146615.0
"VIII.Góp vốn, đầu tư dài hạn (*)","V.Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > VIII.Góp vốn, đầu tư dài hạn (*)","VIII.Góp vốn, đầu tư dài hạn (*)",-,82.610,-,-,-,-,-,-,82.610,,82610.0,,,,,,,82610.0
IX.Tài sản cố định và Bất động sản đầu tư,V.Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > IX.Tài sản cố định và Bất động sản đầu tư,IX.Tài sản cố định và Bất động sản đầu tư,-,235.921,-,-,-,-,-,-,235.921,,235921.0,,,,,,,235921.0
X.Tài sản Có khác (*),V.Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > X.Tài sản Có khác (*),X.Tài sản Có khác (*),-,7.262.323,-,-,-,-,-,-,7.262.323,,7262323.0,,,,,,,7262323.0
Tổng Tài sản,V.Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Tổng Tài sản,Tổng Tài sản,1.424.730,7.963.815,38.580.884,18.916.913,7.339.819,30.449.903,5.947.676,10.348.854,120.972.595,1424730.0,7963815.0,38580884.0,18916913.0,7339819.0,30449903.0,5947676.0,10348854.0,120972595.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
I. Các khoản nợ Ngân hàng Nhà nước Việt Nam,Nợ phải trả > I. Các khoản nợ Ngân hàng Nhà nước Việt Nam,I. Các khoản nợ Ngân hàng Nhà nước Việt Nam,-,-,2.089.135,-,-,-,-,-,2.089.135,,,2089135.0,,,,,,2089135.0
