row_label_raw,row_label_full,col_0,Tổng dư nợ cho vay,Tổng tiền gửi và tiền vay,Các cam kết tín dụng,CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),Kinh doanh và đầu tư chứng khoán,numeric__Tổng dư nợ cho vay,numeric__Tổng tiền gửi và tiền vay,numeric__Các cam kết tín dụng,numeric__CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),numeric__Kinh doanh và đầu tư chứng khoán
Trong nước,Trong nước,Trong nước,79.157.064,13.158.128,1.660.705,-,14.132.542,79157064.0,13158128.0,1660705.0,,14132542.0
Ngoài nước,Ngoài nước,Ngoài nước,-,38.778,-,-,-,,38778.0,,,
