row_label_raw,row_label_full,10. Tài sản Có khác,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
1. Các khoản phải thu,1. Các khoản phải thu,1. Các khoản phải thu,1.858.916.690.044,3.858.416.302.591,1858916690044.0,3858416302591.0
"2. Các khoản lãi, phí phải thu","2. Các khoản lãi, phí phải thu","2. Các khoản lãi, phí phải thu",4.676.753.561.658,7.928.169.513.441,4676753561658.0,7928169513441.0
3. Tài sản Có khác,3. Tài sản Có khác,3. Tài sản Có khác,726.652.741.577,124.040.677.683,726652741577.0,124040677683.0
4. Dự phòng rủi ro các tài sản Có nội bảng khác,4. Dự phòng rủi ro các tài sản Có nội bảng khác,4. Dự phòng rủi ro các tài sản Có nội bảng khác,(368.011.099.441),(263.678.599.441),-368011099441.0,-263678599441.0
Tổng cộng,Tổng cộng,Tổng cộng,6.894.311.893.838,11.646.947.894.274,6894311893838.0,11646947894274.0
10.1 Các khoản phải thu,10.1 Các khoản phải thu,10.1 Các khoản phải thu,31/12/2024,01/01/2024,,
- Các khoản phải thu nội bộ,10.1 Các khoản phải thu > - Các khoản phải thu nội bộ,- Các khoản phải thu nội bộ,36.943.672.733,46.092.665.592,36943672733.0,46092665592.0
- Các khoản phải thu bên ngoài,10.1 Các khoản phải thu > - Các khoản phải thu bên ngoài,- Các khoản phải thu bên ngoài,1.821.973.017.311,3.812.323.636.999,1821973017311.0,3812323636999.0
"+ Ký quỹ, thế chấp, cầm cố","10.1 Các khoản phải thu > + Ký quỹ, thế chấp, cầm cố","+ Ký quỹ, thế chấp, cầm cố",16.495.542.845,15.828.078.700,16495542845.0,15828078700.0
+ Thuế GTGT được khấu trừ,+ Thuế GTGT được khấu trừ,+ Thuế GTGT được khấu trừ,-,-,,
+ Thuế và các khoản phải thu nhà nước,+ Thuế GTGT được khấu trừ > + Thuế và các khoản phải thu nhà nước,+ Thuế và các khoản phải thu nhà nước,973.336.005,970.048.334,973336005.0,970048334.0
+ Phải thu chờ xử lý liên quan đến sự vụ tại Phòng giao dịch Đông Đô (i),+ Thuế GTGT được khấu trừ > + Phải thu chờ xử lý liên quan đến sự vụ tại Phòng giao dịch Đông Đô (i),+ Phải thu chờ xử lý liên quan đến sự vụ tại Phòng giao dịch Đông Đô (i),299.081.174.274,232.581.174.274,299081174274.0,232581174274.0
+ Phải thu tiền đặt cọc đảm bảo thực hiện các hợp đồng hợp tác đầu tư,+ Thuế GTGT được khấu trừ > + Phải thu tiền đặt cọc đảm bảo thực hiện các hợp đồng hợp tác đầu tư,+ Phải thu tiền đặt cọc đảm bảo thực hiện các hợp đồng hợp tác đầu tư,-,1.300.000.000.000,,1300000000000.0
