row_label_raw,row_label_full,CHỈ TIÊU,Thuyết minh,Năm 2024,Năm 2023,numeric__Thuyết minh,numeric__Năm 2024,numeric__Năm 2023
1. Thu nhập lãi và các khoản thu nhập tương tự,1. Thu nhập lãi và các khoản thu nhập tương tự,1. Thu nhập lãi và các khoản thu nhập tương tự,VI.17,7.289.559.255.271,8.851.558.403.243,,7289559255271.0,8851558403243.0
2. Chi phí lãi và các chi phí tương tự,2. Chi phí lãi và các chi phí tương tự,2. Chi phí lãi và các chi phí tương tự,VI.18,4.961.857.966.406,7.042.014.774.515,,4961857966406.0,7042014774515.0
I. Thu nhập lãi thuần,I. Thu nhập lãi thuần,I. Thu nhập lãi thuần,,2.327.701.288.865,1.809.543.628.728,,2327701288865.0,1809543628728.0
3. Thu nhập từ hoạt động dịch vụ,3. Thu nhập từ hoạt động dịch vụ,3. Thu nhập từ hoạt động dịch vụ,,163.203.616.672,109.798.140.530,,163203616672.0,109798140530.0
4. Chi phí hoạt động dịch vụ,4. Chi phí hoạt động dịch vụ,4. Chi phí hoạt động dịch vụ,,34.574.361.048,33.212.065.290,,34574361048.0,33212065290.0
II. Lãi/lỗ thuần từ hoạt động dịch vụ,II. Lãi/lỗ thuần từ hoạt động dịch vụ,II. Lãi/lỗ thuần từ hoạt động dịch vụ,VI.19,128.629.255.624,76.586.075.240,,128629255624.0,76586075240.0
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối,III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối,III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối,VI.20,(1.467.310.194),6.212.137.331,,-1467310194.0,6212137331.0
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,VI.21,(38.337.600),-,,-38337600.0,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,VI.22,40.024.011.282,410.371.349.493,,40024011282.0,410371349493.0
5. Thu nhập từ hoạt động khác,5. Thu nhập từ hoạt động khác,5. Thu nhập từ hoạt động khác,,178.571.083.356,208.032.038.500,,178571083356.0,208032038500.0
6. Chi phí hoạt động khác,6. Chi phí hoạt động khác,6. Chi phí hoạt động khác,,19.775.356.276,8.833.506.897,,19775356276.0,8833506897.0
VI. Lãi/lỗ thuần từ hoạt động khác,VI. Lãi/lỗ thuần từ hoạt động khác,VI. Lãi/lỗ thuần từ hoạt động khác,VI.23,158.795.727.080,199.198.531.603,,158795727080.0,199198531603.0
"VII. Thu nhập từ góp vốn, mua cổ phần","VII. Thu nhập từ góp vốn, mua cổ phần","VII. Thu nhập từ góp vốn, mua cổ phần",VI.24,8.303.955.000,11.097.918.768,,8303955000.0,11097918768.0
VIII. Chi phí hoạt động,VIII. Chi phí hoạt động,VIII. Chi phí hoạt động,VI.25,1.021.123.000.621,909.264.656.851,,1021123000621.0,909264656851.0
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,1.640.825.589.436,1.603.744.984.312,,1640825589436.0,1603744984312.0
X. Chi phí dự phòng rủi ro tín dụng,X. Chi phí dự phòng rủi ro tín dụng,X. Chi phí dự phòng rủi ro tín dụng,,555.164.005.464,686.831.625.146,,555164005464.0,686831625146.0
XI. Tổng lợi nhuận trước thuế,XI. Tổng lợi nhuận trước thuế,XI. Tổng lợi nhuận trước thuế,,1.085.661.583.972,916.913.359.166,,1085661583972.0,916913359166.0
7. Chi phí thuế TNDN hiện hành,7. Chi phí thuế TNDN hiện hành,7. Chi phí thuế TNDN hiện hành,VI.26,218.636.682.113,178.527.701.333,,218636682113.0,178527701333.0
8. Chi phí thuế TNDN hoãn lại,8. Chi phí thuế TNDN hoãn lại,8. Chi phí thuế TNDN hoãn lại,,-,(5.707.994.041),,,-5707994041.0
XII. Chi phí thuế Thu nhập doanh nghiệp,XII. Chi phí thuế Thu nhập doanh nghiệp,XII. Chi phí thuế Thu nhập doanh nghiệp,,218.636.682.113,172.819.707.292,,218636682113.0,172819707292.0
XIII. Lợi nhuận sau thuế Thu nhập doanh nghiệp,XIII. Lợi nhuận sau thuế Thu nhập doanh nghiệp,XIII. Lợi nhuận sau thuế Thu nhập doanh nghiệp,,867.024.901.859,744.093.651.874,,867024901859.0,744093651874.0
XIV. Lãi cơ bản trên cổ phiếu,XIV. Lãi cơ bản trên cổ phiếu,XIV. Lãi cơ bản trên cổ phiếu,V.27,1.606,1.378,,1606.0,1378.0
