row_label_raw,row_label_full,col_0,Miền Bắc,Miền Trung,Miền Nam,Loại trừ,Tổng cộng,numeric__Miền Bắc,numeric__Miền Trung,numeric__Miền Nam,numeric__Loại trừ,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
I. Doanh thu,I. Doanh thu,I. Doanh thu,21.501.326,1.901.717,6.555.737,(22.324.654),7.634.126,21501326.0,1901717.0,6555737.0,-22324654.0,7634126.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,21.272.912,1.880.943,6.450.384,(22.316.104),7.288.135,21272912.0,1880943.0,6450384.0,-22316104.0,7288135.0
2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,75.276,18.071,43.261,(8.549),128.059,75276.0,18071.0,43261.0,-8549.0,128059.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,153.138,2.703,62.092,-,217.933,153138.0,2703.0,62092.0,,217933.0
II. Chi phí,II. Chi phí,II. Chi phí,20.806.608,1.671.032,5.840.314,(22.324.654),5.993.300,20806608.0,1671032.0,5840314.0,-22324654.0,5993300.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,20.120.240,1.567.826,5.592.926,(22.316.104),4.964.888,20120240.0,1567826.0,5592926.0,-22316104.0,4964888.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,24.791,4.134,5.219,-,34.144,24791.0,4134.0,5219.0,,34144.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,661.577,99.072,242.169,(8.549),994.269,661577.0,99072.0,242169.0,-8549.0,994269.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,694.718,230.685,715.423,-,1.640.826,694718.0,230685.0,715423.0,,1640826.0
(Chi phí)/Hoàn nhập dự phòng rủi ro tín,(Chi phí)/Hoàn nhập dự phòng rủi ro tín,(Chi phí)/Hoàn nhập dự phòng rủi ro tín,338.986,21.429,194.749,-,555.164,338986.0,21429.0,194749.0,,555164.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,355.732,209.256,520.674,-,1.085.662,355732.0,209256.0,520674.0,,1085662.0
