row_label_raw,row_label_full,31/12/2024,01/01/2024,numeric__01/01/2024
2.178.354.793.645,2.178.354.793.645,2.178.354.793.645,1.114.938.127.866,1114938127866.0
2.178.354.793.645,2.178.354.793.645,2.178.354.793.645,1.114.938.127.866,1114938127866.0
-,-,-,-,
9.900.000.000.000,- > 9.900.000.000.000,9.900.000.000.000,12.750.000.000.000,12750000000000.0
9.900.000.000.000,- > 9.900.000.000.000,9.900.000.000.000,12.750.000.000.000,12750000000000.0
-,-,-,-,
12.078.354.793.645,- > 12.078.354.793.645,12.078.354.793.645,13.864.938.127.866,13864938127866.0
31/12/2024,31/12/2024,31/12/2024,01/01/2024,
1.900.000.000.000,1.900.000.000.000,1.900.000.000.000,,
127.240.711.879,1.900.000.000.000 > 127.240.711.879,127.240.711.879,19.180.297.096,19180297096.0
2.027.240.711.879,1.900.000.000.000 > 2.027.240.711.879,2.027.240.711.879,19.180.297.096,19180297096.0
14.105.595.505.524,1.900.000.000.000 > 14.105.595.505.524,14.105.595.505.524,13.884.118.424.962,13884118424962.0
