row_label_raw,row_label_full,CHỈ TIÊU,Thuyết minh,31/12/2024,01/01/2024,numeric__Thuyết minh,numeric__31/12/2024,numeric__01/01/2024
B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,
I. Các khoản nợ Chính phủ và Ngân hàng Nhà nước,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > I. Các khoản nợ Chính phủ và Ngân hàng Nhà nước,I. Các khoản nợ Chính phủ và Ngân hàng Nhà nước,V.11,2.089.135.194.031,-,,2089135194031.0,
II. Tiền gửi và vay các TCTD khác,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > II. Tiền gửi và vay các TCTD khác,II. Tiền gửi và vay các TCTD khác,V.12,14.105.595.505.524,13.884.118.424.962,,14105595505524.0,13884118424962.0
1. Tiền gửi của các TCTD khác,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > 1. Tiền gửi của các TCTD khác,1. Tiền gửi của các TCTD khác,,12.078.354.793.645,13.864.938.127.866,,12078354793645.0,13864938127866.0
2. Vay các TCTD khác,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > 2. Vay các TCTD khác,2. Vay các TCTD khác,,2.027.240.711.879,19.180.297.096,,2027240711879.0,19180297096.0
III. Tiền gửi của khách hàng,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > III. Tiền gửi của khách hàng,III. Tiền gửi của khách hàng,V.13,90.289.420.877.823,86.694.868.216.940,,90289420877823.0,86694868216940.0
IV. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > IV. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,IV. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,V.04,8.625.190.000,17.041.340.000,,8625190000.0,17041340000.0
V. Phát hành giấy tờ có giá,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > V. Phát hành giấy tờ có giá,V. Phát hành giấy tờ có giá,V.14,2.145.000.000.000,486.000.000.000,,2145000000000.0,486000000000.0
VI. Các khoản nợ khác,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > VI. Các khoản nợ khác,VI. Các khoản nợ khác,V.15,2.337.582.372.757,3.116.742.239.340,,2337582372757.0,3116742239340.0
"1. Các khoản lãi, phí phải trả","B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > 1. Các khoản lãi, phí phải trả","1. Các khoản lãi, phí phải trả",,1.617.346.167.552,2.250.504.603.790,,1617346167552.0,2250504603790.0
2. Các khoản phải trả và công nợ khác,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > 2. Các khoản phải trả và công nợ khác,2. Các khoản phải trả và công nợ khác,,720.236.205.205,866.237.635.550,,720236205205.0,866237635550.0
TỔNG NỘ PHẢI TRẢ,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,110.975.359.140.135,104.198.770.221.242,,110975359140135.0,104198770221242.0
VII. Vốn chủ sở hữu,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > VII. Vốn chủ sở hữu,VII. Vốn chủ sở hữu,V.16,8.856.677.552.392,7.997.093.587.052,,8856677552392.0,7997093587052.0
1. Vốn của TCTD,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > 1. Vốn của TCTD,1. Vốn của TCTD,,5.399.712.500.351,5.399.712.500.351,,5399712500351.0,5399712500351.0
