row_label_raw,row_label_full,col_0,col_1,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộng,numeric__col_1,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộng
,,,,Trên3 tháng,Đến 3tháng,Đến 1 tháng,Từ trên1 tháng đến3 tháng,Từ trên3 tháng đến12 tháng,Từ trên1 năm đến5 năm,Trên 5 năm,Tổng cộng,,,,,,,,,
,,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
,,,Tài sân,,,,,,,,,,,,,,,,,
I,I,I,"Tiền mật, vàng bạc, đá quý",-,-,15.542.769,-,-,-,-,15.542.769,,,,15542769.0,,,,,15542769.0
II,II,II,Tiền gửi tại NHNN,-,-,37.445.504,-,-,-,-,37.445.504,,,,37445504.0,,,,,37445504.0
III,III,III,Tiền gửi và cho vay các TCTD khác – gộp,-,-,504.066.900,13.288.562,5.118.900,-,-,522.474.362,,,,504066900.0,13288562.0,5118900.0,,,522474362.0
IV,IV,IV,Chứng khoán kinh doanh – gộp,-,-,4.537.785,-,7.362.215,-,-,11.900.000,,,,4537785.0,,7362215.0,,,11900000.0
V,V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,374.918,-,-,-,374.918,,,,,374918.0,,,,374918.0
VI,VI,VI,Cho vay khách hàng – gộp,9.485.989,3.409.444,157.379.283,379.286.001,515.011.992,259.829.951,349.123.015,1.673.525.675,,9485989.0,3409444.0,157379283.0,379286001.0,515011992.0,259829951.0,349123015.0,1673525675.0
VII,VII,VII,Chứng khoán đầu tư – gộp,-,-,200.117,20.544.745,44.880.819,61.042.243,38.797.855,165.465.779,,,,200117.0,20544745.0,44880819.0,61042243.0,38797855.0,165465779.0
VIII,VIII,VIII,"Góp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,2.335.727,2.335.727,,,,,,,,2335727.0,2335727.0
IX,IX,IX,Tài sân cố định,-,-,-,-,-,-,8.163.312,8.163.312,,,,,,,,8163312.0,8163312.0
X,X,X,Tài sân Có khác – gộp,-,-,8.516.625,20.190.890,2.745.828,1.876.893,218.307,33.548.543,,,,8516625.0,20190890.0,2745828.0,1876893.0,218307.0,33548543.0
,,,Tổng tài sân,9.485.989,3.409.444,727.688.983,433.685.116,575.119.754,322.749.087,398.638.216,2.470.776.589,,9485989.0,3409444.0,727688983.0,433685116.0,575119754.0,322749087.0,398638216.0,2470776589.0
,,,Nợ phải trả,,,,,,,,,,,,,,,,,
I,I,I,Các khoản nợ Chính phủ và NHNN và tiền gửi và vay các TCTD khác,-,-,439.252.267,40.501.258,557.193,606.147,369.562,481.286.427,,,,439252267.0,40501258.0,557193.0,606147.0,369562.0,481286427.0
II,II,II,Tiền gửi của khách hàng,-,-,848.394.238,245.921.773,524.813.249,53.372.946,32.640,1.672.534.846,,,,848394238.0,245921773.0,524813249.0,53372946.0,32640.0,1672534846.0
V,V,V,Phát hành giấy tờ có giá,-,-,715,4.096.000,15.000.000,2.500.000,5.504.506,27.101.221,,,,715.0,4096000.0,15000000.0,2500000.0,5504506.0,27101221.0
VI,VI,VI,Các khoản nợ phải trả khác,-,-,6.482.669,22.742.996,6.839.466,732.120,695,36.797.946,,,,6482669.0,22742996.0,6839466.0,732120.0,695.0,36797946.0
,,,Tổng nợ phải trả,-,-,1.294.129.889,313.262.027,547.209.908,57.211.213,5.907.403,2.217.720.440,,,,1294129889.0,313262027.0,547209908.0,57211213.0,5907403.0,2217720440.0
,,,Mức chênh thanh khoản ròng,9.485.989,3.409.444,(566.440.906),120.423.089,27.909.846,265.537.874,392.730.813,253.056.149,,9485989.0,3409444.0,-566440906.0,120423089.0,27909846.0,265537874.0,392730813.0,253056149.0
