row_label_raw,row_label_full,col_0,Chưa quá hạn và chưa bị giảm giá Triệu VND,Đã quá hạn nhưng chưa bị giảm giá Triệu VND,Đã bị giảm giá và trích lập dự phòng Triệu VND,Tổng cộngTriệu VND,numeric__Chưa quá hạn và chưa bị giảm giá Triệu VND,numeric__Đã quá hạn nhưng chưa bị giảm giá Triệu VND,numeric__Đã bị giảm giá và trích lập dự phòng Triệu VND,numeric__Tổng cộngTriệu VND
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,37.445.504,-,-,37.445.504,37445504.0,,,37445504.0
Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,522.474.362,-,-,522.474.362,522474362.0,,,522474362.0
Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,515.588.640,-,-,515.588.640,515588640.0,,,515588640.0
Cho vay các TCTD khác,Cho vay các TCTD khác,Cho vay các TCTD khác,6.885.722,-,-,6.885.722,6885722.0,,,6885722.0
Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,11.423.826,-,192.533,11.616.359,11423826.0,,192533.0,11616359.0
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,1.648.109.924,8.892.125,16.523.626,1.673.525.675,1648109924.0,8892125.0,16523626.0,1673525675.0
Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,158.852.029,-,6.613.750,165.465.779,158852029.0,,6613750.0,165465779.0
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,143.080.817,-,-,143.080.817,143080817.0,,,143080817.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,15.771.212,-,6.613.750,22.384.962,15771212.0,,6613750.0,22384962.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,22.969.219,-,10,22.969.229,22969219.0,,10.0,22969229.0
,,,2.401.274.864,8.892.125,23.329.919,2.433.496.908,2401274864.0,8892125.0,23329919.0,2433496908.0
