row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệuVND","Máy móc,thiết bịTriệuVND","Phương tiệnvận tải,truyền đãnTriệuVND",Tài sản cố định hữuhình khácTriệuVND,Tổng cộngTriệuVND,"numeric__Nhà cửa,vật kiến trúcTriệuVND","numeric__Máy móc,thiết bịTriệuVND","numeric__Phương tiệnvận tải,truyền đãnTriệuVND",numeric__Tài sản cố định hữuhình khácTriệuVND,numeric__Tổng cộngTriệuVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,6.269.432,5.635.149,1.708.562,2.195.159,15.808.302,6269432.0,5635149.0,1708562.0,2195159.0,15808302.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,57.221,888.512,130.860,160.859,1.237.452,57221.0,888512.0,130860.0,160859.0,1237452.0
- Mua mới,Nguyên giá > - Mua mới,- Mua mới,57.221,884.842,130.715,159.100,1.231.878,57221.0,884842.0,130715.0,159100.0,1231878.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,-,3.670,145,1.759,5.574,,3670.0,145.0,1759.0,5574.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(9.041),(672.703),(52.417),(39.713),(773.874),-9041.0,-672703.0,-52417.0,-39713.0,-773874.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(5.492),(672.703),(52.365),(36.188),(766.748),-5492.0,-672703.0,-52365.0,-36188.0,-766748.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(3.549),-,(52),(3.525),(7.126),-3549.0,,-52.0,-3525.0,-7126.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,6.317.612,5.850.958,1.787.005,2.316.305,16.271.880,6317612.0,5850958.0,1787005.0,2316305.0,16271880.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.504.861,4.794.216,1.079.892,1.898.754,10.277.723,2504861.0,4794216.0,1079892.0,1898754.0,10277723.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,265.574,563.895,180.805,144.878,1.155.152,265574.0,563895.0,180805.0,144878.0,1155152.0
- Khấu hao,Hao mòn lũy kế > - Khấu hao,- Khấu hao,265.574,546.379,180.660,141.841,1.134.454,265574.0,546379.0,180660.0,141841.0,1134454.0
- Tăng khác,Hao mòn lũy kế > - Tăng khác,- Tăng khác,-,17.516,145,3.037,20.698,,17516.0,145.0,3037.0,20698.0
Giảm trong năm,Hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(14.789),(672.364),(56.459),(36.176),(779.788),-14789.0,-672364.0,-56459.0,-36176.0,-779788.0
"- Thanh lý, nhượng bán","Hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(5.446),(672.364),(52.111),(36.176),(766.097),-5446.0,-672364.0,-52111.0,-36176.0,-766097.0
- Giảm khác,Hao mòn lũy kế > - Giảm khác,- Giảm khác,(9.343),-,(4.348),-,(13.691),-9343.0,,-4348.0,,-13691.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.755.646,4.685.747,1.204.238,2.007.456,10.653.087,2755646.0,4685747.0,1204238.0,2007456.0,10653087.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.764.571,840.933,628.670,296.405,5.530.579,3764571.0,840933.0,628670.0,296405.0,5530579.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.561.966,1.165.211,582.767,308.849,5.618.793,3561966.0,1165211.0,582767.0,308849.0,5618793.0
