row_label_raw,row_label_full,col_0,Chức danh,Năm 2025Triệu VND,Năm 2024Triệu VND,numeric__Chức danh,numeric__Năm 2025Triệu VND,numeric__Năm 2024Triệu VND
"Thành viên Ban Điều hành, Kế toán trưởng","Thành viên Ban Điều hành, Kế toán trưởng","Thành viên Ban Điều hành, Kế toán trưởng","Thành viên Ban Điều hành, Kế toán trưởng","Thành viên Ban Điều hành, Kế toán trưởng","Thành viên Ban Điều hành, Kế toán trưởng",,,
"Lương, thưởng","Thành viên Ban Điều hành, Kế toán trưởng > Lương, thưởng","Lương, thưởng",,21.426,17.464,,21426.0,17464.0
Ông Lê Quang Vinh (*),"Thành viên Ban Điều hành, Kế toán trưởng > Ông Lê Quang Vinh (*)",Ông Lê Quang Vinh (*),Tổng Giám đốc (Bổ nhiệm ngày 7 tháng 3 năm 2025),2.654,1.938,,2654.0,1938.0
Bà Phùng Nguyễn Hải Yến,"Thành viên Ban Điều hành, Kế toán trưởng > Bà Phùng Nguyễn Hải Yến",Bà Phùng Nguyễn Hải Yến,Phó Tổng Giám đốcGiám đốc Khối (Bổ nhiệm ngày 09 tháng 7 năm 2025),2.287,1.968,,2287.0,1968.0
Ông Đăng Hoài Đức,"Thành viên Ban Điều hành, Kế toán trưởng > Ông Đăng Hoài Đức",Ông Đăng Hoài Đức,Phó Tổng Giám đốc,2.303,1.934,,2303.0,1934.0
Ông Nguyễn Việt Cường,"Thành viên Ban Điều hành, Kế toán trưởng > Ông Nguyễn Việt Cường",Ông Nguyễn Việt Cường,Phó Tổng Giám đốc,2.014,1.825,,2014.0,1825.0
Ông Lê Hoàng Tùng,"Thành viên Ban Điều hành, Kế toán trưởng > Ông Lê Hoàng Tùng",Ông Lê Hoàng Tùng,Phó Tổng Giám đốc,2.066,1.723,,2066.0,1723.0
Ông Hồ Văn Tuân,"Thành viên Ban Điều hành, Kế toán trưởng > Ông Hồ Văn Tuân",Ông Hồ Văn Tuân,Phó Tổng Giám đốc,2.074,1.771,,2074.0,1771.0
Ông Nguyễn Văn Tuân,"Thành viên Ban Điều hành, Kế toán trưởng > Ông Nguyễn Văn Tuân",Ông Nguyễn Văn Tuân,Phó Tổng Giám đốc (Bổ nhiệm ngày 16 tháng 1 năm 2025),2.280,-,,2280.0,
Bà Đình Thị Thái (**),"Thành viên Ban Điều hành, Kế toán trưởng > Bà Đình Thị Thái (**)",Bà Đình Thị Thái (**),Phó Tổng Giám đốc (Miễn nhiệm ngày 19 tháng 8 năm 2024),-,1.376,,,1376.0
Bà Nguyễn Thị Hồng Vân,"Thành viên Ban Điều hành, Kế toán trưởng > Bà Nguyễn Thị Hồng Vân",Bà Nguyễn Thị Hồng Vân,Giám đốc Khối,1.903,1.656,,1903.0,1656.0
Bà Đoàn Hồng Nhung,"Thành viên Ban Điều hành, Kế toán trưởng > Bà Đoàn Hồng Nhung",Bà Đoàn Hồng Nhung,Giám đốc Khối,1.942,1.648,,1942.0,1648.0
Bà La Thị Hồng Minh,"Thành viên Ban Điều hành, Kế toán trưởng > Bà La Thị Hồng Minh",Bà La Thị Hồng Minh,Kế toán trưởng,1.903,1.625,,1903.0,1625.0
,,,,47.310,35.819,,47310.0,35819.0
