row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2025:,Năm kết thúc ngày 31 tháng 12 năm 2025:_1,Dịch vụ tài chính ngân hàng Triệu VND,Dịch vụ tài chính phi ngân hàng Triệu VND,Chứng khoán Triệu VND,Khác Triệu VND,Loại trừ Triệu VND,Tổng cộng Triệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2025:_1,numeric__Dịch vụ tài chính ngân hàng Triệu VND,numeric__Dịch vụ tài chính phi ngân hàng Triệu VND,numeric__Chứng khoán Triệu VND,numeric__Khác Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng cộng Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,230.021.715(172.317.296),865.233(550.391),1.243.165(557.258),85.266(19.024),(126.998.895)126.998.895,105.216.484(46.445.074),,,,,,,
2,2,2,Chi phí lãi và các chi phí tương tự,230.021.715(172.317.296),865.233(550.391),1.243.165(557.258),85.266(19.024),(126.998.895)126.998.895,105.216.484(46.445.074),,,,,,,
I,2 > I,I,Thu nhập lãi thuần,57.704.419,314.842,685.907,66.242,-,58.771.410,,57704419.0,314842.0,685907.0,66242.0,,58771410.0
3,2 > 3,3,Thu nhập từ hoạt động dịch vụ,11.243.970,8.894,504.199,283.783,(186.314),11.854.532,,11243970.0,8894.0,504199.0,283783.0,-186314.0,11854532.0
4,2 > 4,4,Chi phí hoạt động dịch vụ,(8.194.544),(2.676),(139.426),(80.564),32.545,(8.384.665),,-8194544.0,-2676.0,-139426.0,-80564.0,32545.0,-8384665.0
II,2 > II,II,Lãi thuần từ hoạt động dịch vụ,3.049.426,6.218,364.773,203.219,(153.769),3.469.867,,3049426.0,6218.0,364773.0,203219.0,-153769.0,3469867.0
III,2 > III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,6.149.049,8.352,-,8.525,(814),6.165.112,,6149049.0,8352.0,,8525.0,-814.0,6165112.0
IV,2 > IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,28.883,-,142.277,-,-,171.160,,28883.0,,142277.0,,,171160.0
V,2 > V,V,Lãi thuần từ mua bán chứng khoán đầu tư,3.616,-,-,-,-,3.616,,3616.0,,,,,3616.0
5,2 > 5,5,Thu nhập từ hoạt động khác,5.251.345,15.801,406,1.556,-,5.269.108,,5251345.0,15801.0,406.0,1556.0,,5269108.0
6,2 > 6,6,Chi phí hoạt động khác,(1.676.721),(13),(776),(3),-,(1.677.513),,-1676721.0,-13.0,-776.0,-3.0,,-1677513.0
VI,2 > VI,VI,Lãi thuần từ hoạt động khác,3.574.624,15.788,(370),1.553,-,3.591.595,,3574624.0,15788.0,-370.0,1553.0,,3591595.0
VII,2 > VII,VII,"Thu nhập từ góp vốn, mua cổ phần",279.048,-,2.814,-,-,281.862,,279048.0,,2814.0,,,281862.0
,,,Tổng thu nhập hoạt động,70.789.065,345.200,1.195.401,279.539,(154.583),72.454.622,,70789065.0,345200.0,1195401.0,279539.0,-154583.0,72454622.0
VIII,2 > VIII,VIII,Chi phí hoạt động,(24.716.798),(107.984),(426.581),(145.205),153.769,(25.242.799),,-24716798.0,-107984.0,-426581.0,-145205.0,153769.0,-25242799.0
IX,2 > IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,46.072.267,237.216,768.820,134.334,(814),47.211.823,,46072267.0,237216.0,768820.0,134334.0,-814.0,47211823.0
X,2 > X,X,Chi phí dự phòng rủi ro tín dụng,(3.045.633),(139.540),(7.013),-,-,(3.192.186),,-3045633.0,-139540.0,-7013.0,,,-3192186.0
XI,2 > XI,XI,Tổng lợi nhuận trước thuế,43.026.634,97.676,761.807,134.334,(814),44.019.637,,43026634.0,97676.0,761807.0,134334.0,-814.0,44019637.0
7,2 > 7,7,Chi phí thuế TNDN hiện hành,(7.641.387),(18.669),(159.474),(23.467),-,(7.842.997),,-7641387.0,-18669.0,-159474.0,-23467.0,,-7842997.0
8,2 > 8,8,Chi phí thuế TNDN hoãn lại,(986.374),-,7.674,-,-,(978.700),,-986374.0,,7674.0,,,-978700.0
XII,2 > XII,XII,Chi phí thuế TNDN,(8.627.761),(18.669),(151.800),(23.467),-,(8.821.697),,-8627761.0,-18669.0,-151800.0,-23467.0,,-8821697.0
XIII,2 > XIII,XIII,Lợi nhuận sau thuế,34.398.873,79.007,610.007,110.867,(814),35.197.940,,34398873.0,79007.0,610007.0,110867.0,-814.0,35197940.0
