row_label_raw,row_label_full,col_0,Mối liên quan,31/12/2025Triệu VNDPhải thu/(Phải trả),31/12/2024Triệu VND,numeric__Mối liên quan,numeric__31/12/2025Triệu VNDPhải thu/(Phải trả),numeric__31/12/2024Triệu VND
"Người quản lý, thành viên Ban Kiểm soát","Người quản lý, thành viên Ban Kiểm soát","Người quản lý, thành viên Ban Kiểm soát",Bên liên quan,,,,,
Tiền gửi tại Ngân hàng,"Người quản lý, thành viên Ban Kiểm soát > Tiền gửi tại Ngân hàng",Tiền gửi tại Ngân hàng,,(91.264),(80.153),,-91264.0,-80153.0
Cho vay,"Người quản lý, thành viên Ban Kiểm soát > Cho vay",Cho vay,,8.775,17.331,,8775.0,17331.0
Dư nợ thẻ tín dụng tại Ngân hàng,"Người quản lý, thành viên Ban Kiểm soát > Dư nợ thẻ tín dụng tại Ngân hàng",Dư nợ thẻ tín dụng tại Ngân hàng,,1.472,896,,1472.0,896.0
"Cá nhân liên quan của Người quản lý, thành viên Ban Kiểm soát","Cá nhân liên quan của Người quản lý, thành viên Ban Kiểm soát","Cá nhân liên quan của Người quản lý, thành viên Ban Kiểm soát",Bên liên quan,,,,,
Tiền gửi tại Ngân hàng,"Cá nhân liên quan của Người quản lý, thành viên Ban Kiểm soát > Tiền gửi tại Ngân hàng",Tiền gửi tại Ngân hàng,,(184.925),(110.499),,-184925.0,-110499.0
Cho vay,"Cá nhân liên quan của Người quản lý, thành viên Ban Kiểm soát > Cho vay",Cho vay,,11.555,17.419,,11555.0,17419.0
Dư nợ thẻ tín dụng tại Ngân hàng,"Cá nhân liên quan của Người quản lý, thành viên Ban Kiểm soát > Dư nợ thẻ tín dụng tại Ngân hàng",Dư nợ thẻ tín dụng tại Ngân hàng,,569,1.029,,569.0,1029.0
Công ty có Tổng Giám đốc/thành viên HĐQT/Chủ tịch HĐQT là thành viên trong gia đình của thành viên HĐQT/thành viên BKS Ngân hàng và công ty có chung thành viên HĐQT với Ngân hàng,Công ty có Tổng Giám đốc/thành viên HĐQT/Chủ tịch HĐQT là thành viên trong gia đình của thành viên HĐQT/thành viên BKS Ngân hàng và công ty có chung thành viên HĐQT với Ngân hàng,Công ty có Tổng Giám đốc/thành viên HĐQT/Chủ tịch HĐQT là thành viên trong gia đình của thành viên HĐQT/thành viên BKS Ngân hàng và công ty có chung thành viên HĐQT với Ngân hàng,Bên liên quan,,,,,
"Cho vay, dư nợ thẻ tín dụng tại Ngân hàng","Công ty có Tổng Giám đốc/thành viên HĐQT/Chủ tịch HĐQT là thành viên trong gia đình của thành viên HĐQT/thành viên BKS Ngân hàng và công ty có chung thành viên HĐQT với Ngân hàng > Cho vay, dư nợ thẻ tín dụng tại Ngân hàng","Cho vay, dư nợ thẻ tín dụng tại Ngân hàng",,345.077,310.747,,345077.0,310747.0
Tiền gửi tại Ngân hàng,Công ty có Tổng Giám đốc/thành viên HĐQT/Chủ tịch HĐQT là thành viên trong gia đình của thành viên HĐQT/thành viên BKS Ngân hàng và công ty có chung thành viên HĐQT với Ngân hàng > Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,,(1.562.149),(1.501.513),,-1562149.0,-1501513.0
Phải thu lãi cho vay,Công ty có Tổng Giám đốc/thành viên HĐQT/Chủ tịch HĐQT là thành viên trong gia đình của thành viên HĐQT/thành viên BKS Ngân hàng và công ty có chung thành viên HĐQT với Ngân hàng > Phải thu lãi cho vay,Phải thu lãi cho vay,,221,188,,221.0,188.0
